# q qerr I(q) I(q)err
6.111313073595031620e-02 3.154100855865873791e-03 6.792500000000000000e+02 2.380948719491232453e+02
6.800242608866982619e-02 2.110752812487300123e-03 8.718333333333333712e+02 1.439945986641319848e+02
7.478812129850326285e-02 1.894856213165734514e-03 8.698888888888889142e+02 1.844923297947272829e+02
8.081736842982174818e-02 1.577734731020807597e-03 9.340000000000000000e+02 1.552374525256925892e+02
8.706192866790804508e-02 2.018057842609979804e-03 9.407692307692307168e+02 1.402648804455004381e+02
9.311361532868518698e-02 1.734318039620741251e-03 9.765000000000000000e+02 1.383171175234649013e+02
9.924832822165428892e-02 1.939409616079583844e-03 9.563750000000000000e+02 2.217628413700095109e+02
1.056867454532435108e-01 2.068262530006435406e-03 8.766666666666666288e+02 2.726161831831216773e+02
1.120935416356093062e-01 1.699923986068800717e-03 8.536153846153846416e+02 2.788448541083766372e+02
1.177168722532570266e-01 1.903764278506084144e-03 8.458125000000000000e+02 2.865554422522367304e+02
1.242406998858587575e-01 2.007415885574503726e-03 8.123571428571428896e+02 2.659174674401738230e+02
1.307844605212421796e-01 1.948859987027574741e-03 8.255357142857143344e+02 2.233845579136698234e+02
1.372938405551752672e-01 1.976444694498947011e-03 8.275806451612903629e+02 2.284511050271750037e+02
1.433626874055373979e-01 1.479129257371093872e-03 8.000399999999999636e+02 2.047055446244678478e+02
1.497414395840910573e-01 2.132896554945924294e-03 8.157297297297296836e+02 2.098847191318481578e+02
1.562016171858009728e-01 1.470810848565314282e-03 8.101111111111110858e+02 1.921626218884120476e+02
1.620883487451751925e-01 1.817360580555445800e-03 8.249393939393939945e+02 1.920451981350269648e+02
1.684939590642719198e-01 1.975568076388520972e-03 8.241621621621621898e+02 1.973206465265451186e+02
1.749358117034872373e-01 1.810730169671130639e-03 8.368571428571428896e+02 1.891970358312913447e+02
1.813634234827302405e-01 1.982290824745188643e-03 8.496829268292682400e+02 1.881047036519567826e+02
1.877608813777307539e-01 1.710969833005861022e-03 8.578648648648648987e+02 2.047899510038035089e+02
1.936838392192468117e-01 1.708352888559126238e-03 8.665789473684210407e+02 2.060220888837729376e+02
1.998200724089964908e-01 1.901042836663710675e-03 8.813720930232558430e+02 2.073899494438935278e+02
2.064988844748374130e-01 2.083185659227047067e-03 8.814375000000000000e+02 2.436826509520117838e+02
2.131062600015138364e-01 1.923054290541973939e-03 9.140212765957446663e+02 2.189255678428610565e+02
2.193208008558340527e-01 1.649587748772136844e-03 9.273488372093023600e+02 2.329050668105460034e+02
2.255197753110727010e-01 1.943898002345461392e-03 9.480784313725490620e+02 2.246602561213431386e+02
2.319084130262620835e-01 1.853433278599466881e-03 9.700599999999999454e+02 2.366758492115323804e+02
2.380456302514551703e-01 1.717913041466973250e-03 9.989166666666666288e+02 2.542759566942532956e+02
2.441826744061198484e-01 1.910984005326162374e-03 1.035363636363636260e+03 2.717654767996945111e+02
2.508567628905887248e-01 1.865639566994751813e-03 9.724677419354839003e+02 3.913060823090143572e+02
2.571616352083493928e-01 2.042758540577210586e-03 9.653048780487804379e+02 4.318111980569753428e+02
2.636090936505812721e-01 1.759536909171210452e-03 1.017688311688311728e+03 4.537418198295551406e+02
2.696276322290375727e-01 1.767913466712890637e-03 1.082275000000000091e+03 4.706228349883799638e+02
2.756934411426098519e-01 1.847457432374286813e-03 1.150666666666666742e+03 4.739245636844455589e+02
2.820483295007140123e-01 1.942127748479487680e-03 1.164483146067415646e+03 4.607233041747736593e+02
2.885873542857223528e-01 1.999902870285049771e-03 1.135821052631579050e+03 4.038921922200132144e+02
