# q qerr I(q) I(q)err
6.111313073595031620e-02 3.154100855865873791e-03 0.000000000000000000e+00 0.000000000000000000e+00
6.800242608866982619e-02 2.110752812487300123e-03 0.000000000000000000e+00 0.000000000000000000e+00
7.478812129850326285e-02 1.894856213165734514e-03 0.000000000000000000e+00 0.000000000000000000e+00
8.081736842982174818e-02 1.577734731020807597e-03 0.000000000000000000e+00 0.000000000000000000e+00
8.706192866790804508e-02 2.018057842609979804e-03 0.000000000000000000e+00 0.000000000000000000e+00
9.311361532868518698e-02 1.734318039620741251e-03 0.000000000000000000e+00 0.000000000000000000e+00
9.924832822165428892e-02 1.939409616079583844e-03 0.000000000000000000e+00 0.000000000000000000e+00
1.056867454532435108e-01 2.068262530006435406e-03 0.000000000000000000e+00 0.000000000000000000e+00
1.120935416356093062e-01 1.699923986068800717e-03 0.000000000000000000e+00 0.000000000000000000e+00
1.177168722532570266e-01 1.903764278506084144e-03 0.000000000000000000e+00 0.000000000000000000e+00
1.242406998858587575e-01 2.007415885574503726e-03 0.000000000000000000e+00 0.000000000000000000e+00
1.307844605212421796e-01 1.948859987027574741e-03 0.000000000000000000e+00 0.000000000000000000e+00
1.372938405551752672e-01 1.976444694498947011e-03 0.000000000000000000e+00 0.000000000000000000e+00
1.433626874055373979e-01 1.479129257371093872e-03 0.000000000000000000e+00 0.000000000000000000e+00
1.497414395840910573e-01 2.132896554945924294e-03 0.000000000000000000e+00 0.000000000000000000e+00
1.562016171858009728e-01 1.470810848565314282e-03 0.000000000000000000e+00 0.000000000000000000e+00
1.620883487451751925e-01 1.817360580555445800e-03 0.000000000000000000e+00 0.000000000000000000e+00
1.684939590642719198e-01 1.975568076388520972e-03 0.000000000000000000e+00 0.000000000000000000e+00
1.749358117034872373e-01 1.810730169671130639e-03 0.000000000000000000e+00 0.000000000000000000e+00
1.813634234827302405e-01 1.982290824745188643e-03 0.000000000000000000e+00 0.000000000000000000e+00
1.877608813777307539e-01 1.710969833005861022e-03 0.000000000000000000e+00 0.000000000000000000e+00
1.936838392192468117e-01 1.708352888559126238e-03 0.000000000000000000e+00 0.000000000000000000e+00
1.998200724089964908e-01 1.901042836663710675e-03 0.000000000000000000e+00 0.000000000000000000e+00
2.064988844748374130e-01 2.083185659227047067e-03 0.000000000000000000e+00 0.000000000000000000e+00
2.131062600015138364e-01 1.923054290541973939e-03 0.000000000000000000e+00 0.000000000000000000e+00
2.193208008558340527e-01 1.649587748772136844e-03 0.000000000000000000e+00 0.000000000000000000e+00
2.255197753110727010e-01 1.943898002345461392e-03 0.000000000000000000e+00 0.000000000000000000e+00
2.319084130262620835e-01 1.853433278599466881e-03 0.000000000000000000e+00 0.000000000000000000e+00
2.380456302514551703e-01 1.717913041466973250e-03 0.000000000000000000e+00 0.000000000000000000e+00
2.441826744061198484e-01 1.910984005326162374e-03 0.000000000000000000e+00 0.000000000000000000e+00
2.508567628905887248e-01 1.865639566994751813e-03 0.000000000000000000e+00 0.000000000000000000e+00
2.571616352083493928e-01 2.042758540577210586e-03 0.000000000000000000e+00 0.000000000000000000e+00
2.636090936505812721e-01 1.759536909171210452e-03 0.000000000000000000e+00 0.000000000000000000e+00
2.696276322290375727e-01 1.767913466712890637e-03 0.000000000000000000e+00 0.000000000000000000e+00
2.756934411426098519e-01 1.847457432374286813e-03 0.000000000000000000e+00 0.000000000000000000e+00
2.820483295007140123e-01 1.942127748479487680e-03 0.000000000000000000e+00 0.000000000000000000e+00
2.885873542857223528e-01 1.999902870285049771e-03 0.000000000000000000e+00 0.000000000000000000e+00
2.950059364807982032e-01 1.753155416080761590e-03 0.000000000000000000e+00 0.000000000000000000e+00
3.012776628394395750e-01 1.916275679195857595e-03 0.000000000000000000e+00 0.000000000000000000e+00
3.076468654533095481e-01 1.858480647863890167e-03 0.000000000000000000e+00 0.000000000000000000e+00
3.139397285054469910e-01 1.849733180513128640e-03 0.000000000000000000e+00 0.000000000000000000e+00
3.202097007249891103e-01 1.889977811219999311e-03 0.000000000000000000e+00 0.000000000000000000e+00
3.264390569218261762e-01 1.757358001834326191e-03 0.000000000000000000e+00 0.000000000000000000e+00
3.326951465344144543e-01 1.930481388006281569e-03 0.000000000000000000e+00 0.000000000000000000e+00
3.390239669727912464e-01 1.785238221274862988e-03 0.000000000000000000e+00 0.000000000000000000e+00
3.452290355408559885e-01 1.822729964848564038e-03 0.000000000000000000e+00 0.000000000000000000e+00
3.515217579766085620e-01 1.894166946962649433e-03 0.000000000000000000e+00 0.000000000000000000e+00
3.581115149106128270e-01 1.984833837990382030e-03 0.000000000000000000e+00 0.000000000000000000e+00
3.646365217867122976e-01 1.807385512883236643e-03 0.000000000000000000e+00 0.000000000000000000e+00
3.707522342694583029e-01 1.646676631311451595e-03 0.000000000000000000e+00 0.000000000000000000e+00
3.768404479121448269e-01 1.835047814059704218e-03 0.000000000000000000e+00 0.000000000000000000e+00
3.831651369708888866e-01 1.834489868729198949e-03 0.000000000000000000e+00 0.000000000000000000e+00
3.894643253735652899e-01 1.853753096359237081e-03 0.000000000000000000e+00 0.000000000000000000e+00
3.958807651630259494e-01 1.912159574900255954e-03 0.000000000000000000e+00 0.000000000000000000e+00
4.022473572087105209e-01 1.746533598099251966e-03 0.000000000000000000e+00 0.000000000000000000e+00
4.083991683103055381e-01 1.862831917861469243e-03 0.000000000000000000e+00 0.000000000000000000e+00
4.147868792651558945e-01 1.850918924272050396e-03 0.000000000000000000e+00 0.000000000000000000e+00
4.211381020132339281e-01 1.813003092898375071e-03 0.000000000000000000e+00 0.000000000000000000e+00
4.273404438934948479e-01 1.765577699919095717e-03 0.000000000000000000e+00 0.000000000000000000e+00
4.337195733954657406e-01 1.911235613422362228e-03 0.000000000000000000e+00 0.000000000000000000e+00
4.400834723796714920e-01 1.795304431444431784e-03 0.000000000000000000e+00 0.000000000000000000e+00
4.463380503116383125e-01 1.781136916513354146e-03 0.000000000000000000e+00 0.000000000000000000e+00
4.525475293404462862e-01 1.782735370135076804e-03 0.000000000000000000e+00 0.000000000000000000e+00
4.588781844142776345e-01 1.863542184770878652e-03 0.000000000000000000e+00 0.000000000000000000e+00
4.652813857520213814e-01 1.809454061223974295e-03 0.000000000000000000e+00 0.000000000000000000e+00
4.715886271752884884e-01 1.786725641485754782e-03 0.000000000000000000e+00 0.000000000000000000e+00
4.778700308571910971e-01 1.749120838384908864e-03 0.000000000000000000e+00 0.000000000000000000e+00
4.841075358786299798e-01 1.812598873705853009e-03 0.000000000000000000e+00 0.000000000000000000e+00
4.904685449060671165e-01 1.813034819841214708e-03 0.000000000000000000e+00 0.000000000000000000e+00
4.967988078032400945e-01 1.775169993053363985e-03 0.000000000000000000e+00 0.000000000000000000e+00
5.030461340587593089e-01 1.710738770771227935e-03 0.000000000000000000e+00 0.000000000000000000e+00
5.093789740337634209e-01 1.844995629980458740e-03 0.000000000000000000e+00 0.000000000000000000e+00
5.157895609665918979e-01 1.772173611217854692e-03 0.000000000000000000e+00 0.000000000000000000e+00
5.220653538623039047e-01 1.710912446064493482e-03 0.000000000000000000e+00 0.000000000000000000e+00
5.282420832211931483e-01 1.776221308977217429e-03 0.000000000000000000e+00 0.000000000000000000e+00
5.345849814872509764e-01 1.797460663252185451e-03 0.000000000000000000e+00 0.000000000000000000e+00
5.409400198384390901e-01 1.769240412124692928e-03 0.000000000000000000e+00 0.000000000000000000e+00
5.471612929737256215e-01 1.671871176479489780e-03 0.000000000000000000e+00 0.000000000000000000e+00
5.535187503546902255e-01 1.843477994232445120e-03 0.000000000000000000e+00 0.000000000000000000e+00
5.599303633336802921e-01 1.774845713676194252e-03 0.000000000000000000e+00 0.000000000000000000e+00
5.661980099607780703e-01 1.715649351238413218e-03 0.000000000000000000e+00 0.000000000000000000e+00
5.724333289920446877e-01 1.764199560704661452e-03 0.000000000000000000e+00 0.000000000000000000e+00
5.786575496797814466e-01 1.687338640378493104e-03 0.000000000000000000e+00 0.000000000000000000e+00
5.849918082512260975e-01 1.882166412490617838e-03 0.000000000000000000e+00 0.000000000000000000e+00
5.913559560974818163e-01 1.673563701773732749e-03 0.000000000000000000e+00 0.000000000000000000e+00
5.976003341774964728e-01 1.789272139650604403e-03 0.000000000000000000e+00 0.000000000000000000e+00
6.039710484280985670e-01 1.760471037718898532e-03 0.000000000000000000e+00 0.000000000000000000e+00
6.103455122609070527e-01 1.778153705054047679e-03 0.000000000000000000e+00 0.000000000000000000e+00
6.165941547084902163e-01 1.709282904712068618e-03 0.000000000000000000e+00 0.000000000000000000e+00
6.227886440901039267e-01 1.708031916550016484e-03 0.000000000000000000e+00 0.000000000000000000e+00
6.292222757675741684e-01 1.895555695838723603e-03 0.000000000000000000e+00 0.000000000000000000e+00
6.355837393651907474e-01 1.609918394456906487e-03 0.000000000000000000e+00 0.000000000000000000e+00
6.417201133152361514e-01 1.735489606861494215e-03 0.000000000000000000e+00 0.000000000000000000e+00
6.480234646877054416e-01 1.746502386866512820e-03 0.000000000000000000e+00 0.000000000000000000e+00
6.543745591304535036e-01 1.808595843625667669e-03 0.000000000000000000e+00 0.000000000000000000e+00
6.607410482875138991e-01 1.776914150084337417e-03 0.000000000000000000e+00 0.000000000000000000e+00
6.669765730033264672e-01 1.670208017253243388e-03 0.000000000000000000e+00 0.000000000000000000e+00
6.731673103258457580e-01 1.796482171393593615e-03 0.000000000000000000e+00 0.000000000000000000e+00
6.795850853652600776e-01 1.822834825668488831e-03 0.000000000000000000e+00 0.000000000000000000e+00
6.858902177354958551e-01 1.747430487391250960e-03 0.000000000000000000e+00 0.000000000000000000e+00
6.921278880332987216e-01 1.765781770802452586e-03 0.000000000000000000e+00 0.000000000000000000e+00
6.985070946107704293e-01 1.847715388967816497e-03 0.000000000000000000e+00 0.000000000000000000e+00
7.048037128132643714e-01 1.757666077632949074e-03 0.000000000000000000e+00 0.000000000000000000e+00
7.109847861020758275e-01 1.767854622430342420e-03 0.000000000000000000e+00 0.000000000000000000e+00
7.172345948602801835e-01 1.822657136245004524e-03 0.000000000000000000e+00 0.000000000000000000e+00
7.236608500653414211e-01 1.906739358311473767e-03 0.000000000000000000e+00 0.000000000000000000e+00
7.299519259881649402e-01 1.814756391122580772e-03 0.000000000000000000e+00 0.000000000000000000e+00
7.362298620906445601e-01 1.872001608046580190e-03 0.000000000000000000e+00 0.000000000000000000e+00
7.427109241448597299e-01 1.961252361706546793e-03 0.000000000000000000e+00 0.000000000000000000e+00
7.489749171607754663e-01 1.795506848231544564e-03 0.000000000000000000e+00 0.000000000000000000e+00
7.553119902396251417e-01 1.968290517240121971e-03 0.000000000000000000e+00 0.000000000000000000e+00
7.617428847945948434e-01 1.878647625832918257e-03 0.000000000000000000e+00 0.000000000000000000e+00
7.679897535333021219e-01 1.889655825210407886e-03 0.000000000000000000e+00 0.000000000000000000e+00
7.742716946001383382e-01 1.890740870187222538e-03 0.000000000000000000e+00 0.000000000000000000e+00
7.806130493972306406e-01 1.874127862848933099e-03 0.000000000000000000e+00 0.000000000000000000e+00
7.869955317179381238e-01 1.962138593108325030e-03 0.000000000000000000e+00 0.000000000000000000e+00
7.933337815560531636e-01 1.823456314192357453e-03 0.000000000000000000e+00 0.000000000000000000e+00
7.995722808394026826e-01 1.873920736445982161e-03 0.000000000000000000e+00 0.000000000000000000e+00
8.059029702364099990e-01 1.855844282913126459e-03 0.000000000000000000e+00 0.000000000000000000e+00
8.122482529694946551e-01 1.899897789708842157e-03 0.000000000000000000e+00 0.000000000000000000e+00
8.185971333973350861e-01 1.831057107996742058e-03 0.000000000000000000e+00 0.000000000000000000e+00
8.248840800988579414e-01 1.805078930334647752e-03 0.000000000000000000e+00 0.000000000000000000e+00
8.311527541867054225e-01 1.843524136775542745e-03 0.000000000000000000e+00 0.000000000000000000e+00
8.375116084758876811e-01 1.829773299230467044e-03 0.000000000000000000e+00 0.000000000000000000e+00
8.438261475186588090e-01 1.817550564165925373e-03 0.000000000000000000e+00 0.000000000000000000e+00
8.500843452560248314e-01 1.755513946144033992e-03 0.000000000000000000e+00 0.000000000000000000e+00
8.563647400134730692e-01 1.844487251387733453e-03 0.000000000000000000e+00 0.000000000000000000e+00
8.626696591174244366e-01 1.710203360544058351e-03 0.000000000000000000e+00 0.000000000000000000e+00
8.689830853488446083e-01 1.844123492424595270e-03 0.000000000000000000e+00 0.000000000000000000e+00
8.753179752476163422e-01 1.741457950302257533e-03 0.000000000000000000e+00 0.000000000000000000e+00
8.815756228481118617e-01 1.752464905610253906e-03 0.000000000000000000e+00 0.000000000000000000e+00
8.877944678552249780e-01 1.716242394594354789e-03 0.000000000000000000e+00 0.000000000000000000e+00
8.941407927930166144e-01 1.839522330085644050e-03 0.000000000000000000e+00 0.000000000000000000e+00
9.005003621585947471e-01 1.752218829319661820e-03 0.000000000000000000e+00 0.000000000000000000e+00
9.067627482844141662e-01 1.720498064613873055e-03 0.000000000000000000e+00 0.000000000000000000e+00
9.130278025298368405e-01 1.789374596252915357e-03 0.000000000000000000e+00 0.000000000000000000e+00
9.193563827426239898e-01 1.786117629316656989e-03 0.000000000000000000e+00 0.000000000000000000e+00
9.256709965929463824e-01 1.773964252230773864e-03 0.000000000000000000e+00 0.000000000000000000e+00
9.319487846442510159e-01 1.740175819907428248e-03 0.000000000000000000e+00 0.000000000000000000e+00
9.382375230166524194e-01 1.835219923763222079e-03 0.000000000000000000e+00 0.000000000000000000e+00
9.445114335627492475e-01 1.754301698834087597e-03 0.000000000000000000e+00 0.000000000000000000e+00
9.507739483173833772e-01 1.796477233495237351e-03 0.000000000000000000e+00 0.000000000000000000e+00
9.571000001339345920e-01 1.844157663989784944e-03 0.000000000000000000e+00 0.000000000000000000e+00
9.634651872700409347e-01 1.860525514413665987e-03 0.000000000000000000e+00 0.000000000000000000e+00
9.697902983397413967e-01 1.869026222830578836e-03 0.000000000000000000e+00 0.000000000000000000e+00
9.761731987705594138e-01 1.898719003246270758e-03 0.000000000000000000e+00 0.000000000000000000e+00
9.824546988499620603e-01 1.850375251942234242e-03 0.000000000000000000e+00 0.000000000000000000e+00
9.887603507672997338e-01 1.885371791598095068e-03 0.000000000000000000e+00 0.000000000000000000e+00
9.951547945742836854e-01 1.923480157877882840e-03 0.000000000000000000e+00 0.000000000000000000e+00
1.001497743307979915e+00 1.816985016266823736e-03 0.000000000000000000e+00 0.000000000000000000e+00
1.007730073445106012e+00 1.872875193246743668e-03 0.000000000000000000e+00 0.000000000000000000e+00
1.014110590476311025e+00 1.881534321868284657e-03 0.000000000000000000e+00 0.000000000000000000e+00
1.020442888611849064e+00 1.823625195420996601e-03 0.000000000000000000e+00 0.000000000000000000e+00
1.026691701700078063e+00 1.782759485576686145e-03 0.000000000000000000e+00 0.000000000000000000e+00
1.033057845114525142e+00 1.884320384582664851e-03 0.000000000000000000e+00 0.000000000000000000e+00
1.039437792018165441e+00 1.793463056649077922e-03 0.000000000000000000e+00 0.000000000000000000e+00
1.045681248368910410e+00 1.745618337461533540e-03 0.000000000000000000e+00 0.000000000000000000e+00
1.051944871571292683e+00 1.801987856022948175e-03 0.000000000000000000e+00 0.000000000000000000e+00
1.058324809813473877e+00 1.829265674919061668e-03 0.000000000000000000e+00 0.000000000000000000e+00
1.064596602572098316e+00 1.714864743882408334e-03 0.000000000000000000e+00 0.000000000000000000e+00
1.070868750588993112e+00 1.792957436204007347e-03 0.000000000000000000e+00 0.000000000000000000e+00
1.077195490251847465e+00 1.798916779777443367e-03 0.000000000000000000e+00 0.000000000000000000e+00
1.083505800573759448e+00 1.740543057611223946e-03 0.000000000000000000e+00 0.000000000000000000e+00
1.089676915900379850e+00 1.748165881083384946e-03 0.000000000000000000e+00 0.000000000000000000e+00
1.096052400832523421e+00 1.863573573199493825e-03 0.000000000000000000e+00 0.000000000000000000e+00
1.102364289960501065e+00 1.744372504095847640e-03 0.000000000000000000e+00 0.000000000000000000e+00
1.108625070827478076e+00 1.829094711995288541e-03 0.000000000000000000e+00 0.000000000000000000e+00
1.114924075445366869e+00 1.842999932655674591e-03 0.000000000000000000e+00 0.000000000000000000e+00
1.121282665432693726e+00 1.762017027877181303e-03 0.000000000000000000e+00 0.000000000000000000e+00
