# q qerr I(q) I(q)err
6.111313073595031620e-02 3.154100855865873791e-03 7.500000000000000000e-01 6.640840707781089369e-01
6.800242608866982619e-02 2.110752812487300123e-03 6.666666666666666297e-01 5.773502691896257311e-01
7.478812129850326285e-02 1.894856213165734514e-03 5.555555555555555802e-01 5.555555555555555802e-01
8.081736842982174818e-02 1.577734731020807597e-03 8.888888888888888395e-01 6.478835438717001072e-01
8.706192866790804508e-02 2.018057842609979804e-03 6.153846153846154188e-01 5.329387100211930850e-01
9.311361532868518698e-02 1.734318039620741251e-03 4.166666666666666852e-01 5.270462766947299205e-01
9.924832822165428892e-02 1.939409616079583844e-03 1.375000000000000000e+00 4.829110943020465285e+00
1.056867454532435108e-01 2.068262530006435406e-03 5.250000000000000000e+00 1.014837835978405600e+01
1.120935416356093062e-01 1.699923986068800717e-03 7.884615384615385025e+00 1.297117879338423130e+01
1.177168722532570266e-01 1.903764278506084144e-03 8.656250000000000000e+00 1.403107600114830866e+01
1.242406998858587575e-01 2.007415885574503726e-03 1.517857142857142883e+01 1.662107710353431145e+01
1.307844605212421796e-01 1.948859987027574741e-03 1.642857142857142705e+01 1.664040447899298414e+01
1.372938405551752672e-01 1.976444694498947011e-03 1.590322580645161210e+01 1.600464942852122263e+01
1.433626874055373979e-01 1.479129257371093872e-03 1.800000000000000000e+01 1.539090640605679283e+01
1.497414395840910573e-01 2.132896554945924294e-03 1.559459459459459474e+01 1.447879485196299321e+01
1.562016171858009728e-01 1.470810848565314282e-03 1.737037037037037024e+01 1.446024776523897515e+01
1.620883487451751925e-01 1.817360580555445800e-03 1.675757575757575779e+01 1.426249391874959471e+01
1.684939590642719198e-01 1.975568076388520972e-03 1.640540540540540704e+01 1.383818095013811700e+01
1.749358117034872373e-01 1.810730169671130639e-03 1.628571428571428470e+01 1.371904679261497328e+01
1.813634234827302405e-01 1.982290824745188643e-03 1.497560975609756184e+01 1.230501704096122673e+01
1.877608813777307539e-01 1.710969833005861022e-03 1.456756756756756843e+01 1.265300802677525915e+01
1.936838392192468117e-01 1.708352888559126238e-03 1.505263157894736814e+01 1.232129881271178817e+01
1.998200724089964908e-01 1.901042836663710675e-03 1.425581395348837255e+01 1.174381763179913207e+01
2.064988844748374130e-01 2.083185659227047067e-03 1.356250000000000000e+01 1.141031605609590471e+01
2.131062600015138364e-01 1.923054290541973939e-03 1.293617021276595658e+01 1.062288244816205385e+01
2.193208008558340527e-01 1.649587748772136844e-03 1.290697674418604635e+01 1.051525457091669402e+01
2.255197753110727010e-01 1.943898002345461392e-03 1.213725490196078383e+01 9.762047830996900544e+00
2.319084130262620835e-01 1.853433278599466881e-03 1.208000000000000007e+01 1.005560540196362318e+01
2.380456302514551703e-01 1.717913041466973250e-03 1.204166666666666607e+01 9.770233634759087238e+00
2.441826744061198484e-01 1.910984005326162374e-03 1.158181818181818201e+01 9.282401370691292897e+00
2.508567628905887248e-01 1.865639566994751813e-03 9.419354838709677935e+00 9.367510883136542787e+00
2.571616352083493928e-01 2.042758540577210586e-03 8.439024390243902829e+00 8.993652332198353250e+00
2.636090936505812721e-01 1.759536909171210452e-03 7.883116883116882967e+00 9.056698151831703569e+00
2.696276322290375727e-01 1.767913466712890637e-03 7.674999999999999822e+00 8.815628877170365030e+00
2.756934411426098519e-01 1.847457432374286813e-03 7.571428571428571175e+00 8.686430891491225381e+00
2.820483295007140123e-01 1.942127748479487680e-03 7.460674157303370357e+00 8.744547600550333755e+00
2.885873542857223528e-01 1.999902870285049771e-03 7.389473684210526194e+00 8.382926851874476171e+00
2.950059364807982032e-01 1.753155416080761590e-03 7.069767441860465240e+00 8.269199760775693520e+00
3.012776628394395750e-01 1.916275679195857595e-03 6.947368421052631859e+00 7.801271293514528082e+00
3.076468654533095481e-01 1.858480647863890167e-03 6.709677419354838968e+00 7.662133513305528609e+00
3.139397285054469910e-01 1.849733180513128640e-03 6.712765957446808152e+00 7.371565155269837355e+00
3.202097007249891103e-01 1.889977811219999311e-03 6.530612244897959329e+00 7.372687306366050741e+00
3.264390569218261762e-01 1.757358001834326191e-03 6.741935483870967971e+00 7.502364062608687156e+00
3.326951465344144543e-01 1.930481388006281569e-03 6.971153846153845812e+00 7.301135722628135483e+00
3.390239669727912464e-01 1.785238221274862988e-03 6.642857142857143238e+00 7.320047156884221806e+00
3.452290355408559885e-01 1.822729964848564038e-03 6.656862745098039547e+00 7.017937143717650983e+00
3.515217579766085620e-01 1.894166946962649433e-03 6.561904761904761685e+00 7.022690790647351022e+00
3.581115149106128270e-01 1.984833837990382030e-03 6.424778761061946675e+00 6.777131900627015426e+00
3.646365217867122976e-01 1.807385512883236643e-03 6.196261682242990787e+00 6.553214782427589036e+00
3.707522342694583029e-01 1.646676631311451595e-03 6.129999999999999893e+00 6.616222487190103863e+00
3.768404479121448269e-01 1.835047814059704218e-03 6.396396396396396788e+00 6.408717988869179649e+00
3.831651369708888866e-01 1.834489868729198949e-03 6.405405405405405261e+00 6.670603901887393938e+00
3.894643253735652899e-01 1.853753096359237081e-03 6.477876106194690564e+00 6.693460397416628460e+00
3.958807651630259494e-01 1.912159574900255954e-03 6.158333333333333215e+00 6.518019893597544190e+00
4.022473572087105209e-01 1.746533598099251966e-03 5.927927927927927776e+00 6.223575745278541405e+00
4.083991683103055381e-01 1.862831917861469243e-03 5.848739495798318977e+00 5.897675122645388512e+00
4.147868792651558945e-01 1.850918924272050396e-03 5.603305785123967375e+00 5.777243747492637027e+00
4.211381020132339281e-01 1.813003092898375071e-03 5.462809917355372136e+00 5.345536065044339757e+00
4.273404438934948479e-01 1.765577699919095717e-03 5.386554621848739899e+00 5.419855374994385855e+00
