# q qerr I(q) I(q)err
6.111313073595031620e-02 3.154100855865873791e-03 4.362500000000000000e+02 1.466022130283029696e+02
6.800242608866982619e-02 2.110752812487300123e-03 6.133333333333333712e+02 1.261458591384504189e+02
7.478812129850326285e-02 1.894856213165734514e-03 7.052222222222221717e+02 1.889728898186714900e+02
8.081736842982174818e-02 1.577734731020807597e-03 8.520000000000000000e+02 2.085335038362474336e+02
8.706192866790804508e-02 2.018057842609979804e-03 8.514615384615384528e+02 2.601941127915097809e+02
9.311361532868518698e-02 1.734318039620741251e-03 9.739166666666666288e+02 2.535361304517453505e+02
9.924832822165428892e-02 1.939409616079583844e-03 1.005250000000000000e+03 3.241554652092110018e+02
1.056867454532435108e-01 2.068262530006435406e-03 9.025833333333333712e+02 3.881872624062315253e+02
1.120935416356093062e-01 1.699923986068800717e-03 9.733076923076922640e+02 4.092644831398924339e+02
1.177168722532570266e-01 1.903764278506084144e-03 9.601562500000000000e+02 3.798707993762484421e+02
1.242406998858587575e-01 2.007415885574503726e-03 8.623214285714285552e+02 3.879874090635374841e+02
1.307844605212421796e-01 1.948859987027574741e-03 8.770357142857143344e+02 3.271828890042125408e+02
1.372938405551752672e-01 1.976444694498947011e-03 8.979354838709676869e+02 3.262766393252923081e+02
1.433626874055373979e-01 1.479129257371093872e-03 8.732000000000000455e+02 2.903966390990088371e+02
1.497414395840910573e-01 2.132896554945924294e-03 9.069459459459459367e+02 3.071030656221720960e+02
1.562016171858009728e-01 1.470810848565314282e-03 9.227407407407407618e+02 2.827973967823716634e+02
1.620883487451751925e-01 1.817360580555445800e-03 9.595454545454545041e+02 2.828858709408468712e+02
1.684939590642719198e-01 1.975568076388520972e-03 9.741081081081081265e+02 2.906970967266245225e+02
1.749358117034872373e-01 1.810730169671130639e-03 9.934285714285714448e+02 2.884457859435139540e+02
1.813634234827302405e-01 1.982290824745188643e-03 1.020707317073170771e+03 2.776638253014302222e+02
1.877608813777307539e-01 1.710969833005861022e-03 1.039405405405405418e+03 2.997512628436002160e+02
1.936838392192468117e-01 1.708352888559126238e-03 1.058078947368421041e+03 2.976148536414694377e+02
1.998200724089964908e-01 1.901042836663710675e-03 1.082046511627906966e+03 2.965317330165122485e+02
2.064988844748374130e-01 2.083185659227047067e-03 1.084020833333333258e+03 3.411369165501344014e+02
2.131062600015138364e-01 1.923054290541973939e-03 1.124553191489361780e+03 3.080749484043033135e+02
2.193208008558340527e-01 1.649587748772136844e-03 1.137000000000000000e+03 3.251449408466007753e+02
2.255197753110727010e-01 1.943898002345461392e-03 1.157666666666666742e+03 3.136803981074729677e+02
2.319084130262620835e-01 1.853433278599466881e-03 1.175460000000000036e+03 3.222130934645580282e+02
2.380456302514551703e-01 1.717913041466973250e-03 1.191791666666666742e+03 3.294555391201436123e+02
2.441826744061198484e-01 1.910984005326162374e-03 1.207327272727272657e+03 3.247192755810537506e+02
2.508567628905887248e-01 1.865639566994751813e-03 1.079354838709677324e+03 4.592391946221612216e+02
2.571616352083493928e-01 2.042758540577210586e-03 1.021060975609756042e+03 4.801716887573824692e+02
2.636090936505812721e-01 1.759536909171210452e-03 1.018857142857142890e+03 4.673880765490124531e+02
2.696276322290375727e-01 1.767913466712890637e-03 1.036974999999999909e+03 4.481355671696904324e+02
2.756934411426098519e-01 1.847457432374286813e-03 1.076261904761904816e+03 4.260563412887794925e+02
2.820483295007140123e-01 1.942127748479487680e-03 1.094898876404494331e+03 4.122881204397912143e+02
2.885873542857223528e-01 1.999902870285049771e-03 1.127705263157894706e+03 4.023090387491683373e+02
2.950059364807982032e-01 1.753155416080761590e-03 1.141058139534883821e+03 3.933389532954453216e+02
3.012776628394395750e-01 1.916275679195857595e-03 1.170326315789473711e+03 3.795556017866755383e+02
3.076468654533095481e-01 1.858480647863890167e-03 1.184365591397849357e+03 3.694617697492911930e+02
3.139397285054469910e-01 1.849733180513128640e-03 1.208212765957446891e+03 3.590915541030692566e+02
3.202097007249891103e-01 1.889977811219999311e-03 1.216897959183673493e+03 3.487843594009993353e+02
3.264390569218261762e-01 1.757358001834326191e-03 1.233311827956989191e+03 3.384683601867341167e+02
3.326951465344144543e-01 1.930481388006281569e-03 1.271961538461538566e+03 3.233805481474084331e+02
3.390239669727912464e-01 1.785238221274862988e-03 1.272918367346938794e+03 3.225714327677166580e+02
3.452290355408559885e-01 1.822729964848564038e-03 1.302117647058823422e+03 3.128057830360675666e+02
3.515217579766085620e-01 1.894166946962649433e-03 1.319961904761904862e+03 3.080158593555086100e+02
3.581115149106128270e-01 1.984833837990382030e-03 1.352433628318584169e+03 3.008554497505538734e+02
3.646365217867122976e-01 1.807385512883236643e-03 1.383598130841121474e+03 2.930226509977155729e+02
3.707522342694583029e-01 1.646676631311451595e-03 1.389670000000000073e+03 2.901890035821481320e+02
3.768404479121448269e-01 1.835047814059704218e-03 1.420369369369369451e+03 2.788486984435298837e+02
3.831651369708888866e-01 1.834489868729198949e-03 1.414432432432432506e+03 2.715782314856954258e+02
3.894643253735652899e-01 1.853753096359237081e-03 1.410920353982300867e+03 2.599163787165617236e+02
3.958807651630259494e-01 1.912159574900255954e-03 1.399758333333333439e+03 2.491533287957437608e+02
4.022473572087105209e-01 1.746533598099251966e-03 1.395621621621621671e+03 2.395331369377915678e+02
4.083991683103055381e-01 1.862831917861469243e-03 1.401899159663865476e+03 2.302008383099826005e+02
4.147868792651558945e-01 1.850918924272050396e-03 1.396148760330578625e+03 2.261720889290543539e+02
4.211381020132339281e-01 1.813003092898375071e-03 1.407479338842975267e+03 2.169376967665976395e+02
4.273404438934948479e-01 1.765577699919095717e-03 1.411697478991596654e+03 2.116536493504989096e+02
4.337195733954657406e-01 1.911235613422362228e-03 1.424846153846153811e+03 2.011439547501848040e+02
4.400834723796714920e-01 1.795304431444431784e-03 1.424846774193548299e+03 1.956150131014395583e+02
4.463380503116383125e-01 1.781136916513354146e-03 1.423484126984126988e+03 1.893645378456579067e+02
4.525475293404462862e-01 1.782735370135076804e-03 1.426960629921259851e+03 1.831838232503793336e+02
4.588781844142776345e-01 1.863542184770878652e-03 1.420873134328358219e+03 1.794537673054919082e+02
4.652813857520213814e-01 1.809454061223974295e-03 1.419225563909774337e+03 1.723966500609283514e+02
4.715886271752884884e-01 1.786725641485754782e-03 1.405888059701492466e+03 1.706108693007173258e+02
4.778700308571910971e-01 1.749120838384908864e-03 1.406345864661654105e+03 1.636508394840560641e+02
4.841075358786299798e-01 1.812598873705853009e-03 1.403086956521739239e+03 1.591677640939083744e+02
4.904685449060671165e-01 1.813034819841214708e-03 1.393285714285714221e+03 1.578205549065786784e+02
4.967988078032400945e-01 1.775169993053363985e-03 1.397085106382978665e+03 1.496578619050749523e+02
5.030461340587593089e-01 1.710738770771227935e-03 1.389253623188405754e+03 1.463816576181610856e+02
5.093789740337634209e-01 1.844995629980458740e-03 1.390120805369127538e+03 1.376598752374639503e+02
5.157895609665918979e-01 1.772173611217854692e-03 1.384404109589041127e+03 1.342828634209124345e+02
5.220653538623039047e-01 1.710912446064493482e-03 1.382650349650349654e+03 1.288534476211688684e+02
5.282420832211931483e-01 1.776221308977217429e-03 1.381641891891891873e+03 1.259006918320880004e+02
5.345849814872509764e-01 1.797460663252185451e-03 1.376381578947368325e+03 1.217538027613187523e+02
5.409400198384390901e-01 1.769240412124692928e-03 1.378405228758169869e+03 1.178328627176932173e+02
5.471612929737256215e-01 1.671871176479489780e-03 1.374898648648648759e+03 1.164919199836432000e+02
5.535187503546902255e-01 1.843477994232445120e-03 1.380074074074074133e+03 1.144029910141993298e+02
5.599303633336802921e-01 1.774845713676194252e-03 1.380980891719745159e+03 1.179301294696640099e+02
5.661980099607780703e-01 1.715649351238413218e-03 1.391928571428571331e+03 1.100629142058665479e+02
5.724333289920446877e-01 1.764199560704661452e-03 1.396768749999999955e+03 1.078279072324275205e+02
5.786575496797814466e-01 1.687338640378493104e-03 1.401558441558441473e+03 1.047308713113441456e+02
5.849918082512260975e-01 1.882166412490617838e-03 1.415290697674418652e+03 1.004167118669704166e+02
5.913559560974818163e-01 1.673563701773732749e-03 1.420242038216560559e+03 9.878533132637186043e+01
5.976003341774964728e-01 1.789272139650604403e-03 1.434526627218934891e+03 9.750262192817298512e+01
6.039710484280985670e-01 1.760471037718898532e-03 1.446547619047619037e+03 9.748028392433133149e+01
6.103455122609070527e-01 1.778153705054047679e-03 1.451596491228070136e+03 9.701548542172960765e+01
6.165941547084902163e-01 1.709282904712068618e-03 1.447395209580838355e+03 9.628747225696704959e+01
6.227886440901039267e-01 1.708031916550016484e-03 1.439250000000000000e+03 9.351816572959808127e+01
6.292222757675741684e-01 1.895555695838723603e-03 1.424534759358288738e+03 9.019281362765188703e+01
6.355837393651907474e-01 1.609918394456906487e-03 1.400284848484848453e+03 8.777367234764707860e+01
6.417201133152361514e-01 1.735489606861494215e-03 1.380898876404494331e+03 8.066622445426646948e+01
6.480234646877054416e-01 1.746502386866512820e-03 1.355870786516853968e+03 7.548933620934887756e+01
6.543745591304535036e-01 1.808595843625667669e-03 1.335565217391304259e+03 7.161683911352463383e+01
6.607410482875138991e-01 1.776914150084337417e-03 1.315896739130434753e+03 6.904916863392286075e+01
6.669765730033264672e-01 1.670208017253243388e-03 1.296926136363636260e+03 6.580372700782103834e+01
6.731673103258457580e-01 1.796482171393593615e-03 1.283845744680851112e+03 6.094671427184715640e+01
6.795850853652600776e-01 1.822834825668488831e-03 1.268005235602094217e+03 5.820423510616039664e+01
6.858902177354958551e-01 1.747430487391250960e-03 1.259333333333333258e+03 5.519645591448526289e+01
6.921278880332987216e-01 1.765781770802452586e-03 1.248830687830687793e+03 5.369980307464965108e+01
6.985070946107704293e-01 1.847715388967816497e-03 1.244853535353535335e+03 5.134020054718605763e+01
7.048037128132643714e-01 1.757666077632949074e-03 1.235148148148148039e+03 5.147080129785611291e+01
7.109847861020758275e-01 1.767854622430342420e-03 1.227281250000000000e+03 4.944747285367153466e+01
