# angle I
-8.754652124446791106e+01 9.447500000000000000e+02
-8.719654980623292317e+01 1.401062500000000000e+03
-8.683539946373248597e+01 1.623764705882352928e+03
-8.646589270816332373e+01 1.880764705882352928e+03
-8.609631673959441400e+01 2.121823529411764866e+03
-8.572669705626906023e+01 2.322647058823529278e+03
-8.536637750593260421e+01 2.477812500000000000e+03
-8.502018487171564232e+01 2.339722222222222172e+03
-8.466969763801341742e+01 2.407187500000000000e+03
-8.433298562829912726e+01 2.184352941176470722e+03
-8.397517091127048161e+01 1.954444444444444343e+03
-8.361434234434295831e+01 2.152312500000000000e+03
-8.326607584953563901e+01 2.469875000000000000e+03
-8.290822045908785753e+01 2.598294117647059011e+03
-8.256094363858535701e+01 2.428733333333333121e+03
-8.222545383659355878e+01 2.332500000000000000e+03
-8.187877332057486512e+01 2.151823529411764866e+03
-8.152105618366013573e+01 2.132611111111111313e+03
-8.116606705071296801e+01 2.220588235294117567e+03
-8.081107421409767255e+01 2.280625000000000000e+03
-8.045350404883059525e+01 2.109882352941176578e+03
-8.008882058051904096e+01 2.414352941176470722e+03
-7.972822444829769495e+01 2.609764705882353155e+03
-7.937439308418619532e+01 2.643277777777777828e+03
-7.902501736267767285e+01 2.795250000000000000e+03
-7.866998805738397493e+01 2.465117647058823422e+03
-7.830740774206556409e+01 2.580941176470588289e+03
-7.794388718365480884e+01 2.940882352941176578e+03
-7.759192843210504975e+01 3.048588235294117567e+03
-7.723874214138137972e+01 3.646875000000000000e+03
-7.688679255460537831e+01 3.499882352941176578e+03
-7.652605617568150365e+01 3.015470588235294144e+03
-7.617561003842214973e+01 3.249437500000000000e+03
-7.583657836964684407e+01 3.563437500000000000e+03
-7.548584628764038484e+01 3.401470588235294144e+03
-7.512734507451129673e+01 3.039882352941176578e+03
-7.476849805532499715e+01 2.705647058823529278e+03
-7.440233842846397749e+01 2.485882352941176578e+03
-7.405489406685747156e+01 2.798625000000000000e+03
-7.370788122929599240e+01 2.934588235294117567e+03
-7.334669385894829929e+01 2.860562500000000000e+03
-7.299115277943971591e+01 3.016722222222222172e+03
-7.263481133505072762e+01 3.322812500000000000e+03
-7.227357098105133559e+01 3.816764705882353155e+03
-7.191601891996008078e+01 3.639117647058823422e+03
-7.157191663680728766e+01 3.938875000000000000e+03
-7.123304241232068534e+01 4.218666666666666970e+03
-7.087782041438271108e+01 3.385166666666666515e+03
-7.051813263509309593e+01 3.321117647058823422e+03
-7.015935381037103014e+01 3.227875000000000000e+03
-6.980240141578494217e+01 2.731235294117646845e+03
-6.944367431428300108e+01 2.861333333333333485e+03
-6.908600758053113111e+01 3.196733333333333121e+03
-6.873866207375860427e+01 3.131705882352940989e+03
-6.840157147713199493e+01 2.865125000000000000e+03
-6.803589666022060101e+01 2.668833333333333485e+03
-6.767214703188048475e+01 2.207882352941176578e+03
-6.732150736996732121e+01 2.348250000000000000e+03
-6.696602297061517106e+01 2.505294117647059011e+03
-6.660357212856628450e+01 2.394562500000000000e+03
-6.626195751094286379e+01 2.860437500000000000e+03
-6.590958458738025172e+01 3.103176470588235134e+03
-6.554462630422271729e+01 3.140277777777777828e+03
-6.518333605810005338e+01 3.541375000000000000e+03
-6.483482922477291766e+01 3.275529411764705856e+03
-6.447878197598760153e+01 2.682235294117646845e+03
