# angle I
-8.754652124446791106e+01 5.335000000000000000e+02
-8.719654980623292317e+01 7.165625000000000000e+02
-8.683539946373248597e+01 7.634117647058823195e+02
-8.646589270816332373e+01 7.685882352941176805e+02
-8.609631673959441400e+01 7.718235294117647527e+02
-8.572669705626906023e+01 7.760588235294117112e+02
-8.536637750593260421e+01 7.740000000000000000e+02
-8.502018487171564232e+01 7.765000000000000000e+02
-8.466969763801341742e+01 7.865625000000000000e+02
-8.433298562829912726e+01 7.850588235294117112e+02
-8.397517091127048161e+01 7.967777777777778283e+02
-8.361434234434295831e+01 7.870625000000000000e+02
-8.326607584953563901e+01 7.888125000000000000e+02
-8.290822045908785753e+01 8.012352941176470722e+02
-8.256094363858535701e+01 8.112666666666666515e+02
-8.222545383659355878e+01 8.030000000000000000e+02
-8.187877332057486512e+01 7.922352941176470722e+02
-8.152105618366013573e+01 7.998333333333333712e+02
-8.116606705071296801e+01 7.975294117647058556e+02
-8.081107421409767255e+01 7.978750000000000000e+02
-8.045350404883059525e+01 8.108235294117647527e+02
-8.008882058051904096e+01 8.159411764705882888e+02
-7.972822444829769495e+01 8.042941176470587834e+02
-7.937439308418619532e+01 8.168333333333333712e+02
-7.902501736267767285e+01 8.118750000000000000e+02
-7.866998805738397493e+01 8.256470588235293917e+02
-7.830740774206556409e+01 8.271176470588235361e+02
-7.794388718365480884e+01 8.197647058823529278e+02
-7.759192843210504975e+01 8.214705882352941444e+02
-7.723874214138137972e+01 8.176875000000000000e+02
-7.688679255460537831e+01 8.270000000000000000e+02
-7.652605617568150365e+01 8.342941176470587834e+02
-7.617561003842214973e+01 8.333750000000000000e+02
-7.583657836964684407e+01 8.248750000000000000e+02
-7.548584628764038484e+01 8.428235294117647527e+02
-7.512734507451129673e+01 8.472352941176470722e+02
-7.476849805532499715e+01 8.440000000000000000e+02
-7.440233842846397749e+01 8.430588235294117112e+02
-7.405489406685747156e+01 8.380625000000000000e+02
-7.370788122929599240e+01 8.491764705882352473e+02
-7.334669385894829929e+01 8.342500000000000000e+02
-7.299115277943971591e+01 8.417222222222221717e+02
