# angle I
-8.754652124446791106e+01 6.061875000000000000e+02
-8.719654980623292317e+01 8.131875000000000000e+02
-8.683539946373248597e+01 8.558235294117647527e+02
-8.646589270816332373e+01 8.605882352941176805e+02
-8.609631673959441400e+01 8.620000000000000000e+02
-8.572669705626906023e+01 8.610588235294117112e+02
-8.536637750593260421e+01 8.587500000000000000e+02
-8.502018487171564232e+01 8.611111111111110858e+02
-8.466969763801341742e+01 8.639375000000000000e+02
-8.433298562829912726e+01 8.659411764705882888e+02
-8.397517091127048161e+01 8.627777777777778283e+02
-8.361434234434295831e+01 8.657500000000000000e+02
-8.326607584953563901e+01 8.671250000000000000e+02
-8.290822045908785753e+01 8.672941176470587834e+02
-8.256094363858535701e+01 8.650666666666667197e+02
-8.222545383659355878e+01 8.659375000000000000e+02
-8.187877332057486512e+01 8.672352941176470722e+02
-8.152105618366013573e+01 8.688888888888889142e+02
-8.116606705071296801e+01 8.695882352941176805e+02
-8.081107421409767255e+01 8.688125000000000000e+02
-8.045350404883059525e+01 8.618235294117647527e+02
-8.008882058051904096e+01 8.638823529411764639e+02
-7.972822444829769495e+01 8.696470588235293917e+02
-7.937439308418619532e+01 8.637222222222221717e+02
-7.902501736267767285e+01 8.650625000000000000e+02
-7.866998805738397493e+01 8.637647058823529278e+02
-7.830740774206556409e+01 8.678235294117647527e+02
-7.794388718365480884e+01 8.653529411764706083e+02
-7.759192843210504975e+01 8.665882352941176805e+02
-7.723874214138137972e+01 8.685625000000000000e+02
-7.688679255460537831e+01 8.682941176470587834e+02
-7.652605617568150365e+01 8.679411764705882888e+02
-7.617561003842214973e+01 8.698125000000000000e+02
-7.583657836964684407e+01 8.741875000000000000e+02
-7.548584628764038484e+01 8.685294117647058556e+02
-7.512734507451129673e+01 8.662352941176470722e+02
-7.476849805532499715e+01 8.648235294117647527e+02
-7.440233842846397749e+01 8.705882352941176805e+02
-7.405489406685747156e+01 8.738750000000000000e+02
-7.370788122929599240e+01 8.702941176470587834e+02
-7.334669385894829929e+01 8.746875000000000000e+02
-7.299115277943971591e+01 8.735555555555555429e+02
-7.263481133505072762e+01 8.717500000000000000e+02
-7.227357098105133559e+01 8.697647058823529278e+02
-7.191601891996008078e+01 8.730588235294117112e+02
-7.157191663680728766e+01 8.766250000000000000e+02
-7.123304241232068534e+01 8.763333333333333712e+02
-7.087782041438271108e+01 8.723888888888889142e+02
-7.051813263509309593e+01 8.747647058823529278e+02
-7.015935381037103014e+01 8.808750000000000000e+02
-6.980240141578494217e+01 8.812352941176470722e+02
-6.944367431428300108e+01 8.841666666666666288e+02
-6.908600758053113111e+01 8.829333333333332803e+02
-6.873866207375860427e+01 8.777647058823529278e+02
-6.840157147713199493e+01 8.757500000000000000e+02
-6.803589666022060101e+01 8.738333333333333712e+02
-6.767214703188048475e+01 8.741176470588235361e+02
-6.732150736996732121e+01 8.808750000000000000e+02
-6.696602297061517106e+01 8.838235294117647527e+02
-6.660357212856628450e+01 8.817500000000000000e+02
-6.626195751094286379e+01 8.770000000000000000e+02
-6.590958458738025172e+01 8.777647058823529278e+02
-6.554462630422271729e+01 8.796111111111110858e+02
-6.518333605810005338e+01 8.821250000000000000e+02
-6.483482922477291766e+01 8.893529411764706083e+02
-6.447878197598760153e+01 8.854117647058823195e+02
-6.413621252578040810e+01 8.951333333333333258e+02
-6.382118788512903507e+01 8.948666666666666742e+02
-6.342760035281536801e+01 8.944545454545454959e+02
-6.303836075617765289e+01 8.886666666666666288e+02
-6.272978339202143871e+01 8.853571428571428896e+02
-6.237827262875153878e+01 8.792105263157894797e+02
-6.201445998709871787e+01 8.867500000000000000e+02
-6.165905302340574679e+01 8.853529411764706083e+02
-6.130898100986352262e+01 8.845882352941176805e+02
-6.093889260142156417e+01 8.873529411764706083e+02
-6.059047923637870525e+01 8.860588235294117112e+02
-6.023355464908956236e+01 8.886250000000000000e+02
-5.988572024135848437e+01 8.899375000000000000e+02
-5.953663514977896654e+01 8.832352941176470722e+02
-5.918151106924398164e+01 8.827647058823529278e+02
-5.881679659832923335e+01 8.820588235294117112e+02
-5.846474250612753565e+01 8.848235294117647527e+02
-5.811767042454251708e+01 8.862666666666666515e+02
-5.775829128833665038e+01 8.875000000000000000e+02
-5.740158310776777739e+01 8.908125000000000000e+02
-5.704412870355421461e+01 8.936666666666666288e+02
-5.670974894766039398e+01 8.897142857142856656e+02
-5.636113799193925189e+01 8.965789473684210407e+02
-5.597920247523168058e+01 8.958823529411764639e+02
-5.562832391957682177e+01 8.902352941176470722e+02
-5.527740956220922897e+01 8.934375000000000000e+02
-5.492860123459479382e+01 8.939411764705882888e+02
-5.458167554737808302e+01 8.942500000000000000e+02
-5.422087726494484627e+01 8.941764705882352473e+02
-5.386173209072669010e+01 8.954117647058823195e+02
-5.348641437404793919e+01 8.940000000000000000e+02
-5.312584231303669213e+01 8.988750000000000000e+02
-5.278463784234666889e+01 8.962941176470587834e+02
-5.244223038635665546e+01 8.918125000000000000e+02
-5.208920210232281534e+01 8.922352941176470722e+02
-5.173943090965746450e+01 8.906875000000000000e+02
-5.138509194964115068e+01 8.900588235294117112e+02
-5.102195102587344167e+01 8.945882352941176805e+02
-5.066476111916448133e+01 8.937058823529412166e+02
-5.030952437540356215e+01 9.005000000000000000e+02
-4.995894854944197760e+01 8.980000000000000000e+02
-4.961910321542423219e+01 8.989411764705882888e+02
-4.924856778802785584e+01 9.049411764705882888e+02
-4.889987789527070561e+01 8.996875000000000000e+02
-4.856434418756161620e+01 9.006666666666666288e+02
-4.821088021446319516e+01 9.021666666666666288e+02
-4.784377552087068608e+01 8.962500000000000000e+02
-4.749516350919158469e+01 8.968333333333333712e+02
-4.712183347689600055e+01 9.025000000000000000e+02
-4.677664422238280650e+01 8.916875000000000000e+02
-4.642567778243204657e+01 9.092941176470587834e+02
-4.607250678112187359e+01 8.903684210526315610e+02
-4.574150936454941530e+01 8.975000000000000000e+02
-4.537184040948153552e+01 9.003333333333333712e+02
-4.500000000000000000e+01 9.002500000000000000e+02
-4.462815959051846448e+01 8.972083333333333712e+02
-4.425849063545058470e+01 9.000000000000000000e+02
-4.393679699583316989e+01 8.987222222222221717e+02
-4.358463905179681319e+01 9.150000000000000000e+02
-4.322335577761719350e+01 8.965000000000000000e+02
-4.287816652310399945e+01 9.067777777777778283e+02
-4.251437926573277792e+01 8.976470588235293917e+02
-4.217843678045918665e+01 8.931250000000000000e+02
-4.181907588013757504e+01 8.999411764705882888e+02
-4.145893622704212333e+01 8.967058823529412166e+02
-4.110012210472929439e+01 8.898750000000000000e+02
-4.075143221197214416e+01 8.976470588235293917e+02
-4.039123593912205479e+01 8.888750000000000000e+02
-4.005195262938783429e+01 8.954375000000000000e+02
-3.969047562459645206e+01 8.987222222222221717e+02
-3.933523888083551867e+01 8.915294117647058556e+02
-3.897804897412655833e+01 8.915294117647058556e+02
-3.862547609040582586e+01 8.917500000000000000e+02
-3.827146616794634326e+01 8.815294117647058556e+02
