# qr I
-6.014514307217141281e-02 4.101265822784809778e+00
-5.989351213680672859e-02 4.151898734177215111e+00
-5.964188092919286976e-02 4.316455696202531556e+00
-5.939024945051259163e-02 4.670886075949367111e+00
-5.913861770194916295e-02 4.898734177215190222e+00
-5.888698568468647004e-02 4.329113924050632889e+00
-5.863535339990879475e-02 4.189873417721519111e+00
-5.838372084880103646e-02 4.126582278481012445e+00
-5.813208803254867746e-02 4.291139240506328889e+00
-5.788045495233770654e-02 4.683544303797468444e+00
-5.762882160935471620e-02 4.645569620253164445e+00
-5.737718800478692344e-02 4.189873417721519111e+00
-5.712555413982212116e-02 4.189873417721519111e+00
-5.687392001564869209e-02 4.531645569620253333e+00
-5.662228563345568511e-02 4.151898734177215111e+00
-5.637065099443282212e-02 4.607594936708860445e+00
-5.611901609977051897e-02 4.886075949367088889e+00
-5.586738095065969800e-02 4.430379746835442667e+00
-5.561574554829210731e-02 4.974683544303797333e+00
-5.536410989386023745e-02 4.860759493670886222e+00
-5.511247398855716184e-02 4.481012658227848000e+00
-5.486083783357682819e-02 4.784810126582278222e+00
-5.460920143011385730e-02 4.670886075949367111e+00
-5.435756477936366793e-02 4.873417721518987555e+00
-5.410592788252246987e-02 4.911392405063291555e+00
-5.385429074078736111e-02 4.316455696202531556e+00
-5.360265335535607800e-02 4.810126582278480889e+00
-5.335101572742732834e-02 4.873417721518987555e+00
-5.309937785820074974e-02 4.860759493670886222e+00
-5.284773974887670145e-02 4.924050632911392000e+00
-5.259610140065659745e-02 4.531645569620253333e+00
-5.234446281474273988e-02 5.189873417721519111e+00
-5.209282399233833294e-02 4.987341772151898667e+00
-5.184118493464755228e-02 4.848101265822784889e+00
-5.158954564287566991e-02 5.088607594936708445e+00
-5.133790611822894312e-02 4.797468354430379556e+00
-5.108626636191461456e-02 4.962025316455696000e+00
-5.083462637514105792e-02 5.012658227848101333e+00
-5.058298615911775015e-02 5.126582278481012445e+00
-5.033134571505524374e-02 5.012658227848101333e+00
-5.007970504416531937e-02 5.075949367088608000e+00
-4.982806414766091652e-02 5.240506329113924444e+00
-4.957642302675614732e-02 5.784810126582278222e+00
-4.932478168266640761e-02 5.367088607594936889e+00
-4.907314011660837000e-02 5.151898734177215111e+00
-4.882149832980003934e-02 5.164556962025316444e+00
-4.856985632346071807e-02 5.658227848101265778e+00
-4.831821409881111029e-02 5.493670886075949333e+00
-4.806657165707331480e-02 4.936708860759493334e+00
-4.781492899947094311e-02 5.683544303797468444e+00
-4.756328612722903609e-02 5.721518987341772444e+00
-4.731164304157417511e-02 5.658227848101265778e+00
-4.705999974373451661e-02 6.050632911392405333e+00
-4.680835623493984771e-02 5.949367088607594667e+00
-4.655671251642157227e-02 5.594936708860759111e+00
-4.630506858941286358e-02 5.759493670886075556e+00
-4.605342445514856026e-02 6.063291139240506666e+00
-4.580178011486533973e-02 5.645569620253164445e+00
-4.555013556980171824e-02 5.746835443037975111e+00
-4.529849082119812020e-02 5.544303797468354666e+00
-4.504684587029687132e-02 5.493670886075949333e+00
-4.479520071834235811e-02 5.594936708860759111e+00
-4.454355536658097942e-02 5.987341772151898667e+00
-4.429190981626131285e-02 6.151898734177215111e+00
-4.404026406863398302e-02 5.759493670886075556e+00
-4.378861812495202926e-02 6.088607594936708445e+00
-4.353697198647067668e-02 6.253164556962024889e+00
-4.328532565444753039e-02 6.962025316455696000e+00
-4.303367913014269353e-02 5.987341772151898667e+00
-4.278203241481871866e-02 6.240506329113924444e+00
-4.253038550974078819e-02 6.670886075949367111e+00
-4.227873841617675599e-02 6.544303797468354666e+00
-4.202709113539712660e-02 6.835443037974683556e+00
-4.177544366867531195e-02 6.822784810126582222e+00
-4.152379601728767994e-02 6.822784810126582222e+00
-4.127214818251347117e-02 7.113924050632911111e+00
-4.102050016563508344e-02 7.531645569620253333e+00
-4.076885196793811339e-02 7.417721518987341334e+00
-4.051720359071143973e-02 7.088607594936708445e+00
-4.026555503524729962e-02 7.329113924050632889e+00
-4.001390630284140659e-02 7.126582278481012445e+00
-3.976225739479315180e-02 7.455696202531645334e+00
-3.951060831240557625e-02 8.139240506329114666e+00
-3.925895905698557897e-02 8.164556962025317333e+00
-3.900730962984402805e-02 7.784810126582278222e+00
-3.875566003229589940e-02 7.962025316455696000e+00
-3.850401026566030449e-02 7.797468354430379556e+00
-3.825236033126087898e-02 8.291139240506328889e+00
-3.800071023042554674e-02 7.962025316455696000e+00
-3.774905996448709583e-02 8.556962025316455112e+00
-3.749740953478300498e-02 8.139240506329114666e+00
-3.724575894265572118e-02 9.101265822784810666e+00
-3.699410818945289559e-02 8.848101265822784001e+00
-3.674245727652750843e-02 9.658227848101265778e+00
-3.649080620523794533e-02 8.734177215189873777e+00
-3.623915497694837201e-02 9.291139240506328889e+00
-3.598750359302877594e-02 9.379746835443038222e+00
-3.573585205485536875e-02 9.797468354430380444e+00
-3.548420036381048220e-02 9.708860759493671111e+00
-3.523254852128320652e-02 9.898734177215189334e+00
-3.498089652866922389e-02 9.392405063291139555e+00
-3.472924438737137048e-02 1.072151898734177244e+01
-3.447759209879965731e-02 1.039240506329113956e+01
-3.422593966437169344e-02 1.097468354430379733e+01
-3.397428708551294280e-02 1.059493670886075911e+01
-3.372263436365684902e-02 1.122784810126582222e+01
-3.347098150024545998e-02 1.118987341772151822e+01
-3.321932849672945554e-02 1.150632911392404978e+01
-3.296767535456852222e-02 1.167088607594936711e+01
-3.271602207523196387e-02 1.264556962025316444e+01
-3.246436866019868778e-02 1.225316455696202489e+01
-3.221271511095786383e-02 1.222784810126582222e+01
-3.196106142900914659e-02 1.312658227848101333e+01
-3.170940761586331369e-02 1.300000000000000000e+01
-3.145775367304244619e-02 1.368354430379746844e+01
-3.120609960208053577e-02 1.374683544303797511e+01
-3.095444540452398433e-02 1.429113924050632889e+01
-3.070279108193204806e-02 1.432911392405063289e+01
-3.045113663587738217e-02 1.444303797468354489e+01
-3.019948206794662027e-02 1.588607594936708800e+01
-2.994782737974093639e-02 1.589873417721518933e+01
-2.969617257287672160e-02 1.644303797468354489e+01
-2.944451764898611823e-02 1.656962025316455822e+01
-2.919286260971778318e-02 1.712658227848101333e+01
-2.894120745673764428e-02 1.793670886075949511e+01
-2.868955219172952126e-02 1.920253164556962133e+01
-2.843789681639609032e-02 1.886075949367088711e+01
-2.818624133245955024e-02 1.891139240506329244e+01
-2.793458574166261116e-02 1.900000000000000000e+01
-2.768293004576941746e-02 2.049367088607595022e+01
-2.743127424656654698e-02 2.064556962025316622e+01
-2.717961834586393385e-02 2.234177215189873422e+01
-2.692796234549609674e-02 2.235443037974683378e+01
-2.667630624732323513e-02 2.324050632911392356e+01
-2.642465005323245061e-02 2.459493670886076089e+01
-2.617299376513907219e-02 2.579746835443037867e+01
-2.592133738498798856e-02 2.534177215189873422e+01
-2.566968091475510874e-02 2.617721518987341867e+01
-2.541802435644892333e-02 2.759493670886076089e+01
-2.516636771211208656e-02 2.934177215189873422e+01
-2.491471098382318575e-02 3.058227848101265778e+01
-2.466305417369854536e-02 3.235443037974683733e+01
-2.441139728389416994e-02 3.221518987341772089e+01
-2.415974031660785351e-02 3.393670886075949511e+01
-2.390808327408133760e-02 3.610126582278481067e+01
-2.365642615860263920e-02 3.706329113924050489e+01
-2.340476897250855920e-02 3.867088607594936889e+01
-2.315311171818736427e-02 3.944303797468354134e+01
-2.290145439808156588e-02 4.270886075949366756e+01
-2.264979701469092832e-02 4.331645569620253156e+01
-2.239813957057574037e-02 4.616455696202531556e+01
-2.214648206836019803e-02 4.673417721518987378e+01
-2.189482451073611682e-02 4.954430379746835200e+01
-2.164316690046682104e-02 5.211392405063291022e+01
-2.139150924039140075e-02 5.545569620253164800e+01
-2.113985153342916659e-02 5.907594936708860445e+01
-2.088819378258453471e-02 6.191139240506328889e+01
-2.063653599095217200e-02 6.336708860759493689e+01
-2.038487816172261310e-02 6.526582278481012622e+01
