# qr I
-6.014514307217141281e-02 6.126582278481012445e+00
-5.989351213680672859e-02 6.987341772151898667e+00
-5.964188092919286976e-02 7.253164556962024889e+00
-5.939024945051259163e-02 7.860759493670886222e+00
-5.913861770194916295e-02 7.987341772151898667e+00
-5.888698568468647004e-02 8.734177215189873777e+00
-5.863535339990879475e-02 8.481012658227848888e+00
-5.838372084880103646e-02 8.632911392405063111e+00
-5.813208803254867746e-02 7.974683544303797333e+00
-5.788045495233770654e-02 8.683544303797468444e+00
-5.762882160935471620e-02 8.949367088607594667e+00
-5.737718800478692344e-02 8.329113924050632889e+00
-5.712555413982212116e-02 8.303797468354430222e+00
-5.687392001564869209e-02 9.063291139240506666e+00
-5.662228563345568511e-02 8.683544303797468444e+00
-5.637065099443282212e-02 8.810126582278481777e+00
-5.611901609977051897e-02 9.189873417721518223e+00
-5.586738095065969800e-02 8.696202531645569778e+00
-5.561574554829210731e-02 9.101265822784810666e+00
-5.536410989386023745e-02 9.759493670886076444e+00
-5.511247398855716184e-02 9.430379746835443555e+00
-5.486083783357682819e-02 9.506329113924049778e+00
-5.460920143011385730e-02 8.860759493670885334e+00
-5.435756477936366793e-02 1.010126582278481067e+01
-5.410592788252246987e-02 9.784810126582279111e+00
-5.385429074078736111e-02 9.759493670886076444e+00
-5.360265335535607800e-02 1.037974683544303822e+01
-5.335101572742732834e-02 1.069620253164556978e+01
-5.309937785820074974e-02 1.040506329113924089e+01
-5.284773974887670145e-02 1.000000000000000000e+01
-5.259610140065659745e-02 1.094936708860759467e+01
-5.234446281474273988e-02 1.044303797468354489e+01
-5.209282399233833294e-02 1.111392405063291200e+01
-5.184118493464755228e-02 1.100000000000000000e+01
-5.158954564287566991e-02 1.097468354430379733e+01
-5.133790611822894312e-02 1.153164556962025245e+01
-5.108626636191461456e-02 1.148101265822784889e+01
-5.083462637514105792e-02 1.218987341772151822e+01
-5.058298615911775015e-02 1.158227848101265778e+01
-5.033134571505524374e-02 1.154430379746835378e+01
-5.007970504416531937e-02 1.226582278481012622e+01
-4.982806414766091652e-02 1.289873417721518933e+01
-4.957642302675614732e-02 1.335443037974683556e+01
-4.932478168266640761e-02 1.374683544303797511e+01
-4.907314011660837000e-02 1.291139240506329067e+01
-4.882149832980003934e-02 1.324050632911392356e+01
-4.856985632346071807e-02 1.345569620253164622e+01
-4.831821409881111029e-02 1.343037974683544356e+01
-4.806657165707331480e-02 1.439240506329113956e+01
-4.781492899947094311e-02 1.416455696202531733e+01
-4.756328612722903609e-02 1.477215189873417778e+01
-4.731164304157417511e-02 1.431645569620253156e+01
-4.705999974373451661e-02 1.478481012658227911e+01
-4.680835623493984771e-02 1.469620253164556978e+01
-4.655671251642157227e-02 1.517721518987341689e+01
-4.630506858941286358e-02 1.496202531645569600e+01
-4.605342445514856026e-02 1.592405063291139200e+01
-4.580178011486533973e-02 1.559493670886075911e+01
-4.555013556980171824e-02 1.556962025316455644e+01
-4.529849082119812020e-02 1.668354430379746844e+01
-4.504684587029687132e-02 1.641772151898734222e+01
-4.479520071834235811e-02 1.640506329113923911e+01
-4.454355536658097942e-02 1.724050632911392356e+01
-4.429190981626131285e-02 1.803797468354430222e+01
-4.404026406863398302e-02 1.775949367088607644e+01
-4.378861812495202926e-02 1.770886075949367111e+01
-4.353697198647067668e-02 1.791139240506329244e+01
-4.328532565444753039e-02 1.934177215189873422e+01
-4.303367913014269353e-02 1.886075949367088711e+01
-4.278203241481871866e-02 1.954430379746835555e+01
-4.253038550974078819e-02 1.964556962025316622e+01
-4.227873841617675599e-02 2.015189873417721600e+01
-4.202709113539712660e-02 2.093670886075949511e+01
-4.177544366867531195e-02 2.098734177215190044e+01
-4.152379601728767994e-02 2.072151898734177067e+01
-4.127214818251347117e-02 2.086075949367088711e+01
-4.102050016563508344e-02 2.221518987341772089e+01
-4.076885196793811339e-02 2.279746835443037867e+01
-4.051720359071143973e-02 2.367088607594936533e+01
-4.026555503524729962e-02 2.330379746835443200e+01
-4.001390630284140659e-02 2.344303797468354489e+01
-3.976225739479315180e-02 2.370886075949367111e+01
-3.951060831240557625e-02 2.587341772151898667e+01
-3.925895905698557897e-02 2.525316455696202667e+01
-3.900730962984402805e-02 2.567088607594936533e+01
-3.875566003229589940e-02 2.672151898734177067e+01
-3.850401026566030449e-02 2.663291139240506311e+01
-3.825236033126087898e-02 2.758227848101265778e+01
-3.800071023042554674e-02 2.720253164556962133e+01
-3.774905996448709583e-02 2.910126582278481067e+01
-3.749740953478300498e-02 2.911392405063291022e+01
-3.724575894265572118e-02 3.006329113924050489e+01
-3.699410818945289559e-02 3.108860759493670756e+01
-3.674245727652750843e-02 3.224050632911392711e+01
-3.649080620523794533e-02 3.184810126582278400e+01
-3.623915497694837201e-02 3.278481012658227911e+01
-3.598750359302877594e-02 3.474683544303797333e+01
-3.573585205485536875e-02 3.440506329113924266e+01
-3.548420036381048220e-02 3.594936708860759467e+01
-3.523254852128320652e-02 3.687341772151899022e+01
-3.498089652866922389e-02 3.658227848101265778e+01
-3.472924438737137048e-02 3.883544303797468444e+01
-3.447759209879965731e-02 4.058227848101265778e+01
-3.422593966437169344e-02 4.084810126582278400e+01
-3.397428708551294280e-02 4.112658227848100978e+01
-3.372263436365684902e-02 4.386075949367088356e+01
-3.347098150024545998e-02 4.334177215189873067e+01
