# qr I
-6.014514307217141281e-02 4.303797468354430222e+00
-5.989351213680672859e-02 4.696202531645569778e+00
-5.964188092919286976e-02 5.101265822784809778e+00
-5.939024945051259163e-02 4.594936708860759111e+00
-5.913861770194916295e-02 5.126582278481012445e+00
-5.888698568468647004e-02 5.126582278481012445e+00
-5.863535339990879475e-02 4.696202531645569778e+00
-5.838372084880103646e-02 5.000000000000000000e+00
-5.813208803254867746e-02 4.911392405063291555e+00
-5.788045495233770654e-02 4.974683544303797333e+00
-5.762882160935471620e-02 4.873417721518987555e+00
-5.737718800478692344e-02 5.215189873417721778e+00
-5.712555413982212116e-02 5.278481012658227556e+00
-5.687392001564869209e-02 5.088607594936708445e+00
-5.662228563345568511e-02 4.569620253164557333e+00
-5.637065099443282212e-02 5.088607594936708445e+00
-5.611901609977051897e-02 5.278481012658227556e+00
-5.586738095065969800e-02 5.481012658227848000e+00
-5.561574554829210731e-02 4.810126582278480889e+00
-5.536410989386023745e-02 5.341772151898734222e+00
-5.511247398855716184e-02 5.594936708860759111e+00
-5.486083783357682819e-02 5.379746835443038222e+00
-5.460920143011385730e-02 5.658227848101265778e+00
-5.435756477936366793e-02 5.594936708860759111e+00
-5.410592788252246987e-02 5.037974683544304000e+00
-5.385429074078736111e-02 6.189873417721519111e+00
-5.360265335535607800e-02 5.784810126582278222e+00
-5.335101572742732834e-02 6.316455696202531556e+00
-5.309937785820074974e-02 6.063291139240506666e+00
-5.284773974887670145e-02 5.734177215189873777e+00
-5.259610140065659745e-02 6.050632911392405333e+00
-5.234446281474273988e-02 5.721518987341772444e+00
-5.209282399233833294e-02 5.531645569620253333e+00
-5.184118493464755228e-02 6.063291139240506666e+00
-5.158954564287566991e-02 5.835443037974683556e+00
-5.133790611822894312e-02 6.151898734177215111e+00
-5.108626636191461456e-02 6.278481012658227556e+00
-5.083462637514105792e-02 5.974683544303797333e+00
-5.058298615911775015e-02 5.594936708860759111e+00
-5.033134571505524374e-02 5.974683544303797333e+00
-5.007970504416531937e-02 6.886075949367088889e+00
-4.982806414766091652e-02 6.544303797468354666e+00
-4.957642302675614732e-02 6.215189873417721778e+00
-4.932478168266640761e-02 6.518987341772152000e+00
-4.907314011660837000e-02 7.113924050632911111e+00
-4.882149832980003934e-02 7.493670886075949333e+00
-4.856985632346071807e-02 6.645569620253164445e+00
-4.831821409881111029e-02 6.708860759493671111e+00
-4.806657165707331480e-02 6.924050632911392000e+00
-4.781492899947094311e-02 7.075949367088608000e+00
-4.756328612722903609e-02 7.012658227848101333e+00
-4.731164304157417511e-02 7.202531645569620444e+00
-4.705999974373451661e-02 6.860759493670886222e+00
-4.680835623493984771e-02 7.088607594936708445e+00
-4.655671251642157227e-02 7.734177215189873777e+00
-4.630506858941286358e-02 7.924050632911392000e+00
-4.605342445514856026e-02 7.101265822784809778e+00
-4.580178011486533973e-02 7.797468354430379556e+00
-4.555013556980171824e-02 8.556962025316455112e+00
-4.529849082119812020e-02 8.189873417721518223e+00
-4.504684587029687132e-02 8.215189873417720889e+00
-4.479520071834235811e-02 7.734177215189873777e+00
-4.454355536658097942e-02 8.316455696202531556e+00
-4.429190981626131285e-02 8.683544303797468444e+00
-4.404026406863398302e-02 8.316455696202531556e+00
-4.378861812495202926e-02 8.316455696202531556e+00
-4.353697198647067668e-02 9.556962025316455112e+00
-4.328532565444753039e-02 8.430379746835443555e+00
-4.303367913014269353e-02 8.708860759493671111e+00
-4.278203241481871866e-02 9.088607594936709333e+00
-4.253038550974078819e-02 8.670886075949367111e+00
-4.227873841617675599e-02 9.544303797468353778e+00
-4.202709113539712660e-02 9.012658227848101333e+00
-4.177544366867531195e-02 9.911392405063290667e+00
-4.152379601728767994e-02 9.658227848101265778e+00
-4.127214818251347117e-02 1.053164556962025245e+01
-4.102050016563508344e-02 1.048101265822784889e+01
-4.076885196793811339e-02 1.018987341772151822e+01
-4.051720359071143973e-02 1.026582278481012622e+01
-4.026555503524729962e-02 1.093670886075949333e+01
-4.001390630284140659e-02 1.100000000000000000e+01
-3.976225739479315180e-02 1.094936708860759467e+01
-3.951060831240557625e-02 1.053164556962025245e+01
-3.925895905698557897e-02 1.163291139240506311e+01
-3.900730962984402805e-02 1.187341772151898667e+01
-3.875566003229589940e-02 1.186075949367088533e+01
-3.850401026566030449e-02 1.134177215189873422e+01
-3.825236033126087898e-02 1.255696202531645511e+01
-3.800071023042554674e-02 1.291139240506329067e+01
-3.774905996448709583e-02 1.235443037974683556e+01
-3.749740953478300498e-02 1.289873417721518933e+01
-3.724575894265572118e-02 1.349367088607595022e+01
-3.699410818945289559e-02 1.321518987341772089e+01
-3.674245727652750843e-02 1.349367088607595022e+01
-3.649080620523794533e-02 1.307594936708860800e+01
-3.623915497694837201e-02 1.406329113924050667e+01
-3.598750359302877594e-02 1.446835443037974755e+01
-3.573585205485536875e-02 1.402531645569620267e+01
-3.548420036381048220e-02 1.584810126582278400e+01
-3.523254852128320652e-02 1.589873417721518933e+01
-3.498089652866922389e-02 1.501265822784810133e+01
-3.472924438737137048e-02 1.584810126582278400e+01
-3.447759209879965731e-02 1.608860759493670756e+01
-3.422593966437169344e-02 1.662025316455696355e+01
-3.397428708551294280e-02 1.727848101265822933e+01
-3.372263436365684902e-02 1.743037974683544178e+01
-3.347098150024545998e-02 1.841772151898734222e+01
-3.321932849672945554e-02 1.774683544303797333e+01
-3.296767535456852222e-02 1.907594936708860800e+01
-3.271602207523196387e-02 1.936708860759493689e+01
-3.246436866019868778e-02 1.941772151898734222e+01
-3.221271511095786383e-02 1.939240506329113956e+01
-3.196106142900914659e-02 2.000000000000000000e+01
-3.170940761586331369e-02 2.074683544303797333e+01
-3.145775367304244619e-02 2.130379746835443200e+01
-3.120609960208053577e-02 2.124050632911392356e+01
-3.095444540452398433e-02 2.227848101265822933e+01
-3.070279108193204806e-02 2.226582278481012622e+01
-3.045113663587738217e-02 2.337974683544303645e+01
-3.019948206794662027e-02 2.541772151898734222e+01
-2.994782737974093639e-02 2.408860759493670756e+01
-2.969617257287672160e-02 2.479746835443037867e+01
-2.944451764898611823e-02 2.530379746835443200e+01
-2.919286260971778318e-02 2.574683544303797333e+01
-2.894120745673764428e-02 2.820253164556962133e+01
-2.868955219172952126e-02 2.843037974683544178e+01
-2.843789681639609032e-02 2.896202531645569778e+01
-2.818624133245955024e-02 2.849367088607595022e+01
-2.793458574166261116e-02 3.135443037974683378e+01
-2.768293004576941746e-02 3.020253164556962133e+01
-2.743127424656654698e-02 3.201265822784809956e+01
-2.717961834586393385e-02 3.398734177215190044e+01
-2.692796234549609674e-02 3.377215189873417955e+01
-2.667630624732323513e-02 3.392405063291139555e+01
-2.642465005323245061e-02 3.602531645569619911e+01
-2.617299376513907219e-02 3.673417721518987378e+01
-2.592133738498798856e-02 3.703797468354430578e+01
-2.566968091475510874e-02 3.765822784810126933e+01
-2.541802435644892333e-02 4.012658227848100978e+01
-2.516636771211208656e-02 4.203797468354430578e+01
-2.491471098382318575e-02 4.139240506329113600e+01
-2.466305417369854536e-02 4.458227848101265778e+01
-2.441139728389416994e-02 4.501265822784809956e+01
-2.415974031660785351e-02 4.711392405063291022e+01
-2.390808327408133760e-02 4.843037974683544178e+01
-2.365642615860263920e-02 4.951898734177215289e+01
-2.340476897250855920e-02 5.281012658227847822e+01
-2.315311171818736427e-02 5.258227848101265778e+01
-2.290145439808156588e-02 5.531645569620253156e+01
-2.264979701469092832e-02 5.951898734177215289e+01
-2.239813957057574037e-02 6.032911392405063111e+01
-2.214648206836019803e-02 6.129113924050633244e+01
-2.189482451073611682e-02 6.300000000000000000e+01
-2.164316690046682104e-02 6.663291139240506311e+01
-2.139150924039140075e-02 6.883544303797468444e+01
-2.113985153342916659e-02 7.164556962025316977e+01
-2.088819378258453471e-02 7.221518987341772799e+01
-2.063653599095217200e-02 7.730379746835443200e+01
-2.038487816172261310e-02 8.197468354430380089e+01
-2.013322029818818970e-02 8.331645569620253866e+01
-1.988156240374952186e-02 8.572151898734176712e+01
-1.962990448192244997e-02 8.737974683544304355e+01
-1.937824653634550795e-02 9.243037974683544178e+01
-1.912658857078801053e-02 9.539240506329113600e+01
-1.887493058915871991e-02 1.020379746835443058e+02
-1.862327259551534164e-02 1.057088607594936747e+02
-1.837161459407466585e-02 1.086835443037974613e+02
-1.811995658922367289e-02 1.139746835443038009e+02
-1.786829858553144745e-02 1.214050632911392427e+02
-1.761664058776223063e-02 1.235316455696202524e+02
-1.736498260088954401e-02 1.308734177215189902e+02
-1.711332463011160793e-02 1.357721518987341653e+02
-1.686166668086805376e-02 1.417594936708860871e+02
-1.661000875885825304e-02 1.471265822784810098e+02
-1.635835087006129104e-02 1.551645569620253298e+02
-1.610669302075781392e-02 1.593164556962025245e+02
-1.585503521755393316e-02 1.682784810126582329e+02
-1.560337746740752748e-02 1.786455696202531556e+02
-1.535171977765701669e-02 1.875316455696202524e+02
-1.510006215605311751e-02 1.970379746835442916e+02
-1.484840461079373411e-02 2.046708860759493689e+02
-1.459674715056255047e-02 2.195569620253164658e+02
-1.434508978457163866e-02 2.251898734177215147e+02
-1.409343252260854620e-02 2.306582278481012622e+02
-1.384177537508874366e-02 2.523037974683544178e+02
-1.359011835311365983e-02 2.667088607594936889e+02
-1.333846146853542511e-02 2.792025316455695929e+02
-1.308680473402903249e-02 2.918860759493670685e+02
-1.283514816317302999e-02 3.110379746835442916e+02
-1.258349177053983206e-02 3.291392405063290880e+02
-1.233183557179713674e-02 3.447088607594936889e+02
-1.208017958382202016e-02 3.598481012658227769e+02
-1.182852382482954892e-02 3.844177215189873209e+02
-1.157686831451822627e-02 4.081012658227847965e+02
-1.132521307423477001e-02 4.289620253164557084e+02
-1.107355812716139844e-02 4.622405063291139413e+02
-1.082190349852924470e-02 4.860632911392405049e+02
-1.057024921586217740e-02 5.210379746835443484e+02
-1.031859530925645536e-02 5.535063291139240391e+02
-1.006694181170214239e-02 5.903164556962025245e+02
-9.815288759454079623e-03 6.264810126582278826e+02
-9.563636192461394403e-03 6.587341772151899022e+02
-9.311984154866585414e-03 7.095316455696203093e+02
-9.060332695587874560e-03 7.574303797468354560e+02
-8.808681869001279419e-03 8.040632911392405049e+02
-8.557031735743066830e-03 8.582025316455695929e+02
-8.305382363658013467e-03 9.069873417721519218e+02
-8.053733828925522392e-03 9.823291139240506027e+02
-7.802086217403471705e-03 1.054873417721518990e+03
-7.550439626240926239e-03 1.118151898734177166e+03
-7.298794165824233626e-03 1.209088607594936775e+03
-7.047149962140082831e-03 1.296974683544303844e+03
-6.795507159663467453e-03 1.395911392405063225e+03
-6.543865924911772443e-03 1.506987341772151922e+03
-6.292226450851486942e-03 1.621113924050632932e+03
-6.040588962406044128e-03 1.757240506329113941e+03
-5.788953723399664283e-03 1.900164556962025245e+03
-5.537321045393948579e-03 2.061265822784810098e+03
-5.285691299047485039e-03 2.239189873417721628e+03
-5.034064928880984703e-03 2.453810126582278372e+03
-4.782442472701511210e-03 2.669316455696202411e+03
-4.530824587495778724e-03 2.946189873417721628e+03
-4.279212084453678545e-03 3.203316455696202411e+03
-4.027605977111391872e-03 3.527506329113924039e+03
-3.776007548728651988e-03 3.930556962025316352e+03
-3.524418448502323470e-03 1.688670886075949284e+03
-3.272840832116505425e-03 2.139240506329113778e+00
-3.021277572439838750e-03 1.240506329113924000e+00
-2.769732584903740035e-03 1.126582278481012667e+00
-2.518211347613111706e-03 1.265822784810126667e+00
-2.266721767136766624e-03 1.164556962025316444e+00
-2.015275691190330631e-03 1.189873417721518889e+00
-1.763891711713961490e-03 1.139240506329114000e+00
-1.512600753524713992e-03 1.126582278481012667e+00
-1.261458312104516517e-03 9.746835443037974445e-01
-1.010574819990685356e-03 9.620253164556962222e-01
-7.602055367095209189e-04 1.050632911392405111e+00
-5.110999338473076357e-04 1.177215189873417778e+00
-1.333652196451147129e-04 1.234177215189873333e+00
2.667304392902294257e-04 1.025316455696202445e+00
5.110999338473076357e-04 1.151898734177215111e+00
7.602055367095209189e-04 1.113924050632911333e+00
1.010574819990685356e-03 1.265822784810126667e+00
1.261458312104516517e-03 1.227848101265822889e+00
1.512600753524713992e-03 1.303797468354430444e+00
1.763891711713961490e-03 1.227848101265822889e+00
2.015275691190330631e-03 1.189873417721518889e+00
2.266721767136766624e-03 1.240506329113924000e+00
2.518211347613111706e-03 4.746835443037975111e+00
2.769732584903740035e-03 2.856594936708860587e+03
3.021277572439838750e-03 3.868025316455696156e+03
3.272840832116505425e-03 3.518088607594936548e+03
3.524418448502323470e-03 3.163911392405063452e+03
3.776007548728651988e-03 2.893696202531645667e+03
4.027605977111391872e-03 2.649594936708860587e+03
4.279212084453678545e-03 2.423556962025316352e+03
4.530824587495778724e-03 2.228265822784810098e+03
4.782442472701511210e-03 2.055443037974683648e+03
5.034064928880984703e-03 1.900645569620253127e+03
5.285691299047485039e-03 1.760265822784810098e+03
5.537321045393948579e-03 1.622392405063291108e+03
5.788953723399664283e-03 1.509151898734177166e+03
6.040588962406044128e-03 1.399443037974683648e+03
6.292226450851486942e-03 1.297088607594936775e+03
6.543865924911772443e-03 1.204772151898734137e+03
6.795507159663467453e-03 1.124075949367088697e+03
7.047149962140082831e-03 1.045037974683544235e+03
7.298794165824233626e-03 9.858101265822784853e+02
7.550439626240926239e-03 9.192278481012658631e+02
7.802086217403471705e-03 8.513037974683544462e+02
8.053733828925522392e-03 7.992911392405063680e+02
8.305382363658013467e-03 7.543164556962025245e+02
8.557031735743066830e-03 7.063797468354430293e+02
8.808681869001279419e-03 6.665189873417721174e+02
9.060332695587874560e-03 6.240000000000000000e+02
9.311984154866585414e-03 5.794683544303796907e+02
9.563636192461394403e-03 5.452658227848100978e+02
