# qr I
-6.014514307217141281e-02 7.215189873417721111e-01
-5.989351213680672859e-02 8.354430379746835555e-01
-5.964188092919286976e-02 8.607594936708861111e-01
-5.939024945051259163e-02 7.848101265822784445e-01
-5.913861770194916295e-02 8.481012658227847778e-01
-5.888698568468647004e-02 8.101265822784810000e-01
-5.863535339990879475e-02 7.594936708860760000e-01
-5.838372084880103646e-02 7.341772151898734444e-01
-5.813208803254867746e-02 7.721518987341772222e-01
-5.788045495233770654e-02 8.101265822784810000e-01
-5.762882160935471620e-02 8.101265822784810000e-01
-5.737718800478692344e-02 8.101265822784810000e-01
-5.712555413982212116e-02 8.860759493670885556e-01
-5.687392001564869209e-02 8.354430379746835555e-01
-5.662228563345568511e-02 7.594936708860760000e-01
-5.637065099443282212e-02 8.227848101265823333e-01
-5.611901609977051897e-02 9.367088607594936667e-01
-5.586738095065969800e-02 7.594936708860760000e-01
-5.561574554829210731e-02 1.012658227848101333e+00
-5.536410989386023745e-02 7.088607594936708889e-01
-5.511247398855716184e-02 7.594936708860760000e-01
-5.486083783357682819e-02 8.227848101265823333e-01
-5.460920143011385730e-02 9.746835443037974445e-01
-5.435756477936366793e-02 8.987341772151898889e-01
-5.410592788252246987e-02 9.367088607594936667e-01
-5.385429074078736111e-02 7.341772151898734444e-01
-5.360265335535607800e-02 8.101265822784810000e-01
-5.335101572742732834e-02 7.468354430379746667e-01
-5.309937785820074974e-02 8.987341772151898889e-01
-5.284773974887670145e-02 9.113924050632911111e-01
-5.259610140065659745e-02 1.063291139240506222e+00
-5.234446281474273988e-02 7.088607594936708889e-01
-5.209282399233833294e-02 1.025316455696202445e+00
-5.184118493464755228e-02 9.367088607594936667e-01
-5.158954564287566991e-02 9.493670886075948889e-01
-5.133790611822894312e-02 8.227848101265823333e-01
-5.108626636191461456e-02 8.987341772151898889e-01
-5.083462637514105792e-02 6.835443037974683334e-01
-5.058298615911775015e-02 8.860759493670885556e-01
-5.033134571505524374e-02 1.151898734177215111e+00
-5.007970504416531937e-02 8.987341772151898889e-01
-4.982806414766091652e-02 1.139240506329114000e+00
-4.957642302675614732e-02 8.860759493670885556e-01
-4.932478168266640761e-02 8.354430379746835555e-01
-4.907314011660837000e-02 9.746835443037974445e-01
-4.882149832980003934e-02 9.746835443037974445e-01
-4.856985632346071807e-02 1.151898734177215111e+00
-4.831821409881111029e-02 1.025316455696202445e+00
-4.806657165707331480e-02 1.101265822784810222e+00
-4.781492899947094311e-02 1.189873417721518889e+00
-4.756328612722903609e-02 1.037974683544303778e+00
-4.731164304157417511e-02 8.734177215189873333e-01
-4.705999974373451661e-02 9.873417721518987777e-01
-4.680835623493984771e-02 1.050632911392405111e+00
-4.655671251642157227e-02 1.164556962025316444e+00
-4.630506858941286358e-02 1.164556962025316444e+00
-4.605342445514856026e-02 1.126582278481012667e+00
-4.580178011486533973e-02 1.151898734177215111e+00
-4.555013556980171824e-02 1.050632911392405111e+00
-4.529849082119812020e-02 9.240506329113924444e-01
-4.504684587029687132e-02 9.620253164556962222e-01
-4.479520071834235811e-02 1.000000000000000000e+00
-4.454355536658097942e-02 9.367088607594936667e-01
-4.429190981626131285e-02 1.037974683544303778e+00
-4.404026406863398302e-02 1.113924050632911333e+00
-4.378861812495202926e-02 9.746835443037974445e-01
-4.353697198647067668e-02 1.177215189873417778e+00
-4.328532565444753039e-02 1.050632911392405111e+00
-4.303367913014269353e-02 1.113924050632911333e+00
-4.278203241481871866e-02 9.620253164556962222e-01
-4.253038550974078819e-02 1.075949367088607556e+00
-4.227873841617675599e-02 1.240506329113924000e+00
-4.202709113539712660e-02 1.291139240506329111e+00
-4.177544366867531195e-02 1.405063291139240444e+00
-4.152379601728767994e-02 1.367088607594936667e+00
-4.127214818251347117e-02 1.151898734177215111e+00
-4.102050016563508344e-02 1.126582278481012667e+00
-4.076885196793811339e-02 1.341772151898734222e+00
-4.051720359071143973e-02 1.240506329113924000e+00
-4.026555503524729962e-02 1.392405063291139333e+00
-4.001390630284140659e-02 1.493670886075949333e+00
-3.976225739479315180e-02 1.265822784810126667e+00
-3.951060831240557625e-02 1.379746835443038000e+00
-3.925895905698557897e-02 1.379746835443038000e+00
-3.900730962984402805e-02 1.341772151898734222e+00
-3.875566003229589940e-02 1.253164556962025333e+00
-3.850401026566030449e-02 1.696202531645569556e+00
-3.825236033126087898e-02 1.784810126582278444e+00
-3.800071023042554674e-02 1.430379746835443111e+00
-3.774905996448709583e-02 1.645569620253164667e+00
-3.749740953478300498e-02 1.227848101265822889e+00
-3.724575894265572118e-02 1.582278481012658222e+00
-3.699410818945289559e-02 1.607594936708860667e+00
-3.674245727652750843e-02 1.556962025316455778e+00
-3.649080620523794533e-02 1.658227848101265778e+00
-3.623915497694837201e-02 1.632911392405063333e+00
-3.598750359302877594e-02 1.481012658227848000e+00
-3.573585205485536875e-02 1.569620253164556889e+00
-3.548420036381048220e-02 1.696202531645569556e+00
-3.523254852128320652e-02 1.620253164556962000e+00
-3.498089652866922389e-02 1.822784810126582222e+00
-3.472924438737137048e-02 1.620253164556962000e+00
-3.447759209879965731e-02 1.443037974683544222e+00
-3.422593966437169344e-02 1.645569620253164667e+00
-3.397428708551294280e-02 1.784810126582278444e+00
-3.372263436365684902e-02 1.759493670886076000e+00
-3.347098150024545998e-02 1.987341772151898667e+00
-3.321932849672945554e-02 1.658227848101265778e+00
-3.296767535456852222e-02 1.683544303797468444e+00
-3.271602207523196387e-02 1.708860759493670889e+00
-3.246436866019868778e-02 1.911392405063291111e+00
-3.221271511095786383e-02 2.000000000000000000e+00
-3.196106142900914659e-02 1.974683544303797555e+00
-3.170940761586331369e-02 1.797468354430379778e+00
-3.145775367304244619e-02 1.936708860759493778e+00
-3.120609960208053577e-02 2.177215189873417778e+00
-3.095444540452398433e-02 1.924050632911392444e+00
-3.070279108193204806e-02 2.000000000000000000e+00
-3.045113663587738217e-02 1.759493670886076000e+00
-3.019948206794662027e-02 2.265822784810126667e+00
-2.994782737974093639e-02 1.886075949367088667e+00
-2.969617257287672160e-02 1.987341772151898667e+00
-2.944451764898611823e-02 2.215189873417721333e+00
-2.919286260971778318e-02 2.126582278481012445e+00
-2.894120745673764428e-02 2.392405063291139111e+00
-2.868955219172952126e-02 2.227848101265822667e+00
-2.843789681639609032e-02 2.291139240506329333e+00
-2.818624133245955024e-02 2.481012658227848000e+00
-2.793458574166261116e-02 2.101265822784810222e+00
-2.768293004576941746e-02 2.278481012658228000e+00
-2.743127424656654698e-02 2.506329113924050667e+00
-2.717961834586393385e-02 2.139240506329113778e+00
-2.692796234549609674e-02 2.658227848101265778e+00
-2.667630624732323513e-02 2.670886075949367111e+00
-2.642465005323245061e-02 2.367088607594936889e+00
-2.617299376513907219e-02 2.379746835443037778e+00
-2.592133738498798856e-02 2.594936708860759556e+00
-2.566968091475510874e-02 2.569620253164556889e+00
-2.541802435644892333e-02 2.721518987341772000e+00
-2.516636771211208656e-02 2.455696202531645778e+00
-2.491471098382318575e-02 2.417721518987341778e+00
-2.466305417369854536e-02 2.784810126582278667e+00
-2.441139728389416994e-02 2.708860759493670667e+00
-2.415974031660785351e-02 2.974683544303797333e+00
-2.390808327408133760e-02 3.012658227848101333e+00
-2.365642615860263920e-02 3.316455696202531556e+00
-2.340476897250855920e-02 2.924050632911392444e+00
-2.315311171818736427e-02 3.227848101265822667e+00
-2.290145439808156588e-02 3.468354430379746667e+00
-2.264979701469092832e-02 3.544303797468354222e+00
-2.239813957057574037e-02 3.240506329113924000e+00
-2.214648206836019803e-02 3.075949367088607556e+00
-2.189482451073611682e-02 3.443037974683544444e+00
-2.164316690046682104e-02 3.291139240506329333e+00
-2.139150924039140075e-02 3.316455696202531556e+00
-2.113985153342916659e-02 2.810126582278480889e+00
-2.088819378258453471e-02 3.113924050632911555e+00
-2.063653599095217200e-02 3.734177215189873333e+00
-2.038487816172261310e-02 3.468354430379746667e+00
-2.013322029818818970e-02 3.620253164556962222e+00
-1.988156240374952186e-02 3.291139240506329333e+00
-1.962990448192244997e-02 3.607594936708860889e+00
-1.937824653634550795e-02 3.658227848101265778e+00
-1.912658857078801053e-02 3.797468354430379556e+00
-1.887493058915871991e-02 4.050632911392405333e+00
-1.862327259551534164e-02 4.126582278481012445e+00
-1.837161459407466585e-02 4.037974683544304000e+00
-1.811995658922367289e-02 4.050632911392405333e+00
-1.786829858553144745e-02 3.860759493670886222e+00
-1.761664058776223063e-02 4.430379746835442667e+00
-1.736498260088954401e-02 3.835443037974683556e+00
-1.711332463011160793e-02 4.569620253164557333e+00
-1.686166668086805376e-02 4.151898734177215111e+00
-1.661000875885825304e-02 4.215189873417721778e+00
-1.635835087006129104e-02 4.607594936708860445e+00
-1.610669302075781392e-02 4.772151898734176889e+00
-1.585503521755393316e-02 4.405063291139240889e+00
-1.560337746740752748e-02 4.164556962025316444e+00
-1.535171977765701669e-02 4.405063291139240889e+00
-1.510006215605311751e-02 4.531645569620253333e+00
-1.484840461079373411e-02 4.784810126582278222e+00
-1.459674715056255047e-02 4.594936708860759111e+00
-1.434508978457163866e-02 4.822784810126582222e+00
-1.409343252260854620e-02 5.101265822784809778e+00
-1.384177537508874366e-02 5.088607594936708445e+00
-1.359011835311365983e-02 5.113924050632911111e+00
-1.333846146853542511e-02 5.481012658227848000e+00
-1.308680473402903249e-02 5.354430379746835555e+00
-1.283514816317302999e-02 5.101265822784809778e+00
-1.258349177053983206e-02 5.164556962025316444e+00
-1.233183557179713674e-02 5.468354430379746667e+00
-1.208017958382202016e-02 5.481012658227848000e+00
-1.182852382482954892e-02 5.759493670886075556e+00
-1.157686831451822627e-02 6.341772151898734222e+00
-1.132521307423477001e-02 5.835443037974683556e+00
-1.107355812716139844e-02 5.696202531645569778e+00
-1.082190349852924470e-02 5.860759493670886222e+00
-1.057024921586217740e-02 5.746835443037975111e+00
-1.031859530925645536e-02 6.202531645569620444e+00
-1.006694181170214239e-02 6.518987341772152000e+00
-9.815288759454079623e-03 6.126582278481012445e+00
-9.563636192461394403e-03 5.911392405063291555e+00
-9.311984154866585414e-03 6.405063291139240889e+00
-9.060332695587874560e-03 6.544303797468354666e+00
-8.808681869001279419e-03 6.746835443037975111e+00
-8.557031735743066830e-03 6.531645569620253333e+00
-8.305382363658013467e-03 6.481012658227848000e+00
-8.053733828925522392e-03 6.379746835443038222e+00
-7.802086217403471705e-03 6.746835443037975111e+00
-7.550439626240926239e-03 6.341772151898734222e+00
-7.298794165824233626e-03 6.936708860759493334e+00
-7.047149962140082831e-03 6.936708860759493334e+00
-6.795507159663467453e-03 7.367088607594936889e+00
-6.543865924911772443e-03 7.658227848101265778e+00
-6.292226450851486942e-03 6.949367088607594667e+00
-6.040588962406044128e-03 6.987341772151898667e+00
-5.788953723399664283e-03 7.291139240506328889e+00
-5.537321045393948579e-03 7.544303797468354666e+00
-5.285691299047485039e-03 7.392405063291139555e+00
-5.034064928880984703e-03 6.367088607594936889e+00
-4.782442472701511210e-03 6.936708860759493334e+00
-4.530824587495778724e-03 7.708860759493671111e+00
-4.279212084453678545e-03 7.367088607594936889e+00
-4.027605977111391872e-03 8.253164556962024889e+00
-3.776007548728651988e-03 8.012658227848101333e+00
-3.524418448502323470e-03 3.632911392405063111e+00
-3.272840832116505425e-03 2.658227848101265556e-01
-3.021277572439838750e-03 2.658227848101265556e-01
-2.769732584903740035e-03 2.405063291139240556e-01
-2.518211347613111706e-03 2.784810126582278333e-01
-2.266721767136766624e-03 3.164556962025316666e-01
-2.015275691190330631e-03 1.392405063291139167e-01
-1.763891711713961490e-03 2.025316455696202500e-01
-1.512600753524713992e-03 7.594936708860759722e-02
-1.261458312104516517e-03 3.417721518987341667e-01
-1.010574819990685356e-03 3.037974683544303889e-01
-7.602055367095209189e-04 1.645569620253164445e-01
-5.110999338473076357e-04 1.518987341772151944e-01
-1.333652196451147129e-04 2.848101265822785000e-01
2.667304392902294257e-04 1.898734177215190000e-01
5.110999338473076357e-04 2.151898734177215278e-01
7.602055367095209189e-04 1.898734177215190000e-01
1.010574819990685356e-03 1.265822784810126667e-01
1.261458312104516517e-03 1.772151898734177222e-01
1.512600753524713992e-03 1.012658227848101250e-01
1.763891711713961490e-03 1.265822784810126667e-01
2.015275691190330631e-03 2.658227848101265556e-01
2.266721767136766624e-03 3.670886075949367222e-01
2.518211347613111706e-03 3.164556962025316666e-01
2.769732584903740035e-03 4.037974683544304000e+00
3.021277572439838750e-03 7.531645569620253333e+00
3.272840832116505425e-03 7.658227848101265778e+00
3.524418448502323470e-03 7.481012658227848000e+00
3.776007548728651988e-03 7.708860759493671111e+00
4.027605977111391872e-03 7.468354430379746667e+00
4.279212084453678545e-03 7.645569620253164445e+00
4.530824587495778724e-03 7.797468354430379556e+00
4.782442472701511210e-03 7.291139240506328889e+00
5.034064928880984703e-03 7.379746835443038222e+00
5.285691299047485039e-03 6.670886075949367111e+00
5.537321045393948579e-03 6.987341772151898667e+00
5.788953723399664283e-03 6.962025316455696000e+00
6.040588962406044128e-03 7.101265822784809778e+00
6.292226450851486942e-03 7.329113924050632889e+00
6.543865924911772443e-03 7.582278481012658666e+00
6.795507159663467453e-03 6.506329113924050667e+00
7.047149962140082831e-03 6.607594936708860445e+00
7.298794165824233626e-03 7.113924050632911111e+00
7.550439626240926239e-03 6.367088607594936889e+00
7.802086217403471705e-03 6.075949367088608000e+00
8.053733828925522392e-03 6.481012658227848000e+00
8.305382363658013467e-03 6.430379746835442667e+00
8.557031735743066830e-03 6.772151898734176889e+00
8.808681869001279419e-03 5.873417721518987555e+00
9.060332695587874560e-03 6.658227848101265778e+00
9.311984154866585414e-03 6.202531645569620444e+00
9.563636192461394403e-03 6.088607594936708445e+00
9.815288759454079623e-03 6.303797468354430222e+00
1.006694181170214239e-02 6.113924050632911111e+00
1.031859530925645536e-02 6.367088607594936889e+00
1.057024921586217740e-02 6.354430379746835555e+00
1.082190349852924470e-02 6.164556962025316444e+00
1.107355812716139844e-02 5.696202531645569778e+00
1.132521307423477001e-02 5.911392405063291555e+00
1.157686831451822627e-02 5.303797468354430222e+00
1.182852382482954892e-02 5.658227848101265778e+00
1.208017958382202016e-02 5.531645569620253333e+00
1.233183557179713674e-02 5.379746835443038222e+00
1.258349177053983206e-02 5.050632911392405333e+00
1.283514816317302999e-02 5.303797468354430222e+00
1.308680473402903249e-02 5.000000000000000000e+00
1.333846146853542511e-02 4.860759493670886222e+00
1.359011835311365983e-02 4.797468354430379556e+00
1.384177537508874366e-02 5.303797468354430222e+00
1.409343252260854620e-02 4.860759493670886222e+00
1.434508978457163866e-02 4.772151898734176889e+00
1.459674715056255047e-02 4.848101265822784889e+00
1.484840461079373411e-02 5.075949367088608000e+00
1.510006215605311751e-02 4.531645569620253333e+00
1.535171977765701669e-02 4.797468354430379556e+00
1.560337746740752748e-02 4.493670886075949333e+00
1.585503521755393316e-02 3.835443037974683556e+00
1.610669302075781392e-02 4.481012658227848000e+00
1.635835087006129104e-02 4.354430379746835555e+00
1.661000875885825304e-02 4.367088607594936889e+00
1.686166668086805376e-02 4.468354430379746667e+00
1.711332463011160793e-02 3.886075949367088445e+00
1.736498260088954401e-02 4.126582278481012445e+00
1.761664058776223063e-02 4.278481012658227556e+00
1.786829858553144745e-02 3.924050632911392444e+00
1.811995658922367289e-02 3.658227848101265778e+00
1.837161459407466585e-02 3.962025316455696000e+00
1.862327259551534164e-02 3.797468354430379556e+00
1.887493058915871991e-02 3.822784810126582222e+00
1.912658857078801053e-02 3.683544303797468444e+00
1.937824653634550795e-02 3.594936708860759556e+00
1.962990448192244997e-02 3.797468354430379556e+00
1.988156240374952186e-02 3.797468354430379556e+00
2.013322029818818970e-02 3.721518987341772000e+00
2.038487816172261310e-02 3.569620253164556889e+00
2.063653599095217200e-02 3.518987341772152000e+00
2.088819378258453471e-02 3.303797468354430222e+00
2.113985153342916659e-02 2.708860759493670667e+00
2.139150924039140075e-02 3.392405063291139111e+00
2.164316690046682104e-02 3.088607594936708889e+00
2.189482451073611682e-02 2.759493670886076000e+00
2.214648206836019803e-02 3.025316455696202667e+00
2.239813957057574037e-02 3.025316455696202667e+00
2.264979701469092832e-02 3.253164556962025333e+00
2.290145439808156588e-02 2.822784810126582222e+00
2.315311171818736427e-02 2.898734177215189778e+00
2.340476897250855920e-02 2.911392405063291111e+00
2.365642615860263920e-02 2.632911392405063111e+00
2.390808327408133760e-02 2.493670886075949333e+00
2.415974031660785351e-02 2.784810126582278667e+00
2.441139728389416994e-02 2.797468354430379556e+00
2.466305417369854536e-02 2.810126582278480889e+00
2.491471098382318575e-02 2.746835443037974667e+00
2.516636771211208656e-02 2.569620253164556889e+00
2.541802435644892333e-02 2.367088607594936889e+00
2.566968091475510874e-02 2.620253164556962222e+00
2.592133738498798856e-02 2.620253164556962222e+00
2.617299376513907219e-02 2.620253164556962222e+00
2.642465005323245061e-02 2.607594936708860889e+00
2.667630624732323513e-02 2.468354430379746667e+00
2.692796234549609674e-02 2.164556962025316444e+00
2.717961834586393385e-02 2.075949367088607556e+00
2.743127424656654698e-02 2.392405063291139111e+00
2.768293004576941746e-02 2.126582278481012445e+00
2.793458574166261116e-02 1.962025316455696222e+00
2.818624133245955024e-02 2.354430379746835555e+00
2.843789681639609032e-02 2.000000000000000000e+00
2.868955219172952126e-02 2.139240506329113778e+00
2.894120745673764428e-02 2.468354430379746667e+00
2.919286260971778318e-02 2.088607594936708889e+00
2.944451764898611823e-02 2.075949367088607556e+00
2.969617257287672160e-02 2.329113924050632889e+00
2.994782737974093639e-02 1.898734177215189778e+00
3.019948206794662027e-02 1.936708860759493778e+00
3.045113663587738217e-02 1.683544303797468444e+00
3.070279108193204806e-02 2.063291139240506222e+00
3.095444540452398433e-02 2.037974683544304000e+00
3.120609960208053577e-02 1.734177215189873333e+00
3.145775367304244619e-02 1.873417721518987333e+00
3.170940761586331369e-02 1.797468354430379778e+00
3.196106142900914659e-02 1.759493670886076000e+00
3.221271511095786383e-02 1.873417721518987333e+00
3.246436866019868778e-02 2.088607594936708889e+00
3.271602207523196387e-02 1.772151898734177111e+00
3.296767535456852222e-02 1.696202531645569556e+00
3.321932849672945554e-02 1.911392405063291111e+00
3.347098150024545998e-02 1.721518987341772222e+00
3.372263436365684902e-02 1.772151898734177111e+00
3.397428708551294280e-02 1.734177215189873333e+00
3.422593966437169344e-02 1.848101265822784889e+00
3.447759209879965731e-02 1.569620253164556889e+00
3.472924438737137048e-02 1.734177215189873333e+00
3.498089652866922389e-02 1.556962025316455778e+00
3.523254852128320652e-02 1.379746835443038000e+00
3.548420036381048220e-02 1.886075949367088667e+00
3.573585205485536875e-02 1.405063291139240444e+00
3.598750359302877594e-02 1.430379746835443111e+00
3.623915497694837201e-02 1.556962025316455778e+00
3.649080620523794533e-02 1.177215189873417778e+00
3.674245727652750843e-02 1.405063291139240444e+00
3.699410818945289559e-02 1.632911392405063333e+00
3.724575894265572118e-02 1.493670886075949333e+00
3.749740953478300498e-02 1.506329113924050667e+00
3.774905996448709583e-02 1.645569620253164667e+00
3.800071023042554674e-02 1.278481012658227778e+00
3.825236033126087898e-02 1.367088607594936667e+00
3.850401026566030449e-02 1.164556962025316444e+00
3.875566003229589940e-02 1.379746835443038000e+00
3.900730962984402805e-02 1.392405063291139333e+00
3.925895905698557897e-02 1.215189873417721556e+00
3.951060831240557625e-02 1.278481012658227778e+00
3.976225739479315180e-02 1.518987341772152000e+00
4.001390630284140659e-02 1.037974683544303778e+00
4.026555503524729962e-02 1.291139240506329111e+00
4.051720359071143973e-02 1.430379746835443111e+00
4.076885196793811339e-02 1.088607594936708889e+00
4.102050016563508344e-02 1.392405063291139333e+00
4.127214818251347117e-02 9.873417721518987777e-01
4.152379601728767994e-02 1.037974683544303778e+00
4.177544366867531195e-02 1.151898734177215111e+00
4.202709113539712660e-02 1.303797468354430444e+00
4.227873841617675599e-02 1.240506329113924000e+00
4.253038550974078819e-02 1.240506329113924000e+00
4.278203241481871866e-02 1.291139240506329111e+00
4.303367913014269353e-02 1.177215189873417778e+00
4.328532565444753039e-02 1.253164556962025333e+00
4.353697198647067668e-02 1.354430379746835333e+00
4.378861812495202926e-02 1.113924050632911333e+00
4.404026406863398302e-02 1.063291139240506222e+00
4.429190981626131285e-02 1.278481012658227778e+00
4.454355536658097942e-02 1.012658227848101333e+00
4.479520071834235811e-02 1.139240506329114000e+00
4.504684587029687132e-02 1.101265822784810222e+00
4.529849082119812020e-02 1.063291139240506222e+00
4.555013556980171824e-02 1.164556962025316444e+00
4.580178011486533973e-02 1.227848101265822889e+00
4.605342445514856026e-02 9.493670886075948889e-01
4.630506858941286358e-02 1.164556962025316444e+00
4.655671251642157227e-02 1.050632911392405111e+00
4.680835623493984771e-02 8.734177215189873333e-01
4.705999974373451661e-02 9.746835443037974445e-01
4.731164304157417511e-02 8.860759493670885556e-01
4.756328612722903609e-02 9.367088607594936667e-01
4.781492899947094311e-02 1.050632911392405111e+00
4.806657165707331480e-02 1.151898734177215111e+00
4.831821409881111029e-02 9.493670886075948889e-01
4.856985632346071807e-02 1.113924050632911333e+00
4.882149832980003934e-02 8.860759493670885556e-01
4.907314011660837000e-02 8.860759493670885556e-01
4.932478168266640761e-02 1.000000000000000000e+00
4.957642302675614732e-02 8.860759493670885556e-01
4.982806414766091652e-02 1.088607594936708889e+00
5.007970504416531937e-02 7.468354430379746667e-01
5.033134571505524374e-02 8.987341772151898889e-01
5.058298615911775015e-02 8.227848101265823333e-01
5.083462637514105792e-02 8.481012658227847778e-01
5.108626636191461456e-02 1.113924050632911333e+00
